OTU	5_12_14_Plot_1	5_12_14_Plot_2	5_12_14_Plot_3	5_12_14_Plot_4	5_12_14_Plot_5	5_12_14_Plot_6	5_21_14_Plot_1	5_21_14_Plot_2	5_21_14_Plot_4	5_21_14_Plot_5	5_21_14_Plot_6	6_1_14_Plot_1	6_1_14_Plot_2	6_1_14_Plot_3	6_1_14_Plot_4	6_1_14_Plot_6	7_22_14_Plot_1	7_22_14_Plot_2	7_22_14_Plot_3	7_22_14_Plot_4	7_22_14_Plot_5	7_22_14_Plot_6	9_24_14_Plot_1	9_24_14_Plot_2	9_24_14_Plot_3	9_24_14_Plot_4	9_24_14_Plot_5	9_24_14_Plot_6	Soil_1	Soil_10	Soil_100	Soil_101	Soil_102	Soil_107	Soil_108	Soil_109	Soil_11	Soil_110	Soil_111	Soil_112	Soil_114	Soil_115	Soil_116	Soil_119	Soil_119_2	Soil_12	Soil_121	Soil_122	Soil_123	Soil_124	Soil_125	Soil_126	Soil_127	Soil_128	Soil_129	Soil_13	Soil_130	Soil_134	Soil_135	Soil_136	Soil_137	Soil_138	Soil_139	Soil_14	Soil_140	Soil_141	Soil_142	Soil_143	Soil_144	Soil_145	Soil_146	Soil_147	Soil_148	Soil_149	Soil_15	Soil_150	Soil_152	Soil_154	Soil_155	Soil_156	Soil_16	Soil_161	Soil_163	Soil_166	Soil_167	Soil_169	Soil_17	Soil_171	Soil_172	Soil_174	Soil_176	Soil_177	Soil_179	Soil_18	Soil_181	Soil_182	Soil_184	Soil_188	Soil_189	Soil_190	Soil_191	Soil_192	Soil_193	Soil_194	Soil_195	Soil_196	Soil_197	Soil_198	Soil_199	Soil_2	Soil_201	Soil_202	Soil_203	Soil_204	Soil_205	Soil_206	Soil_207	Soil_208	Soil_210	Soil_211	Soil_215	Soil_216	Soil_217	Soil_218	Soil_220	Soil_221	Soil_222	Soil_223	Soil_226	Soil_227	Soil_228	Soil_229	Soil_230	Soil_231	Soil_232	Soil_233	Soil_234	Soil_235	Soil_236	Soil_237	Soil_238	Soil_26	Soil_29	Soil_3	Soil_34	Soil_4	Soil_5	Soil_6	Soil_7	Soil_8	Soil_80	Soil_81	Soil_83	Soil_84	Soil_85	Soil_86	Soil_87	Soil_88	Soil_89	Soil_94	Soil_95	Soil_96	Soil_97	Soil_98	Soil_99
0	42559	22078	371	88273	90240	31512	132	23	136312	1060	4685	894	74036	9007	925	2930	9021	30320	6326	34290	3092	1835	6367	353	233	40814	17	5	15628	9439	0	3356	2358	2125	44627	4	8330	2354	2582	63823	2394	4526	628	3768	25	4263	7711	5977	94	28	4427	8538	203	23	2218	3	9716	2946	9	30	10322	49	20956	637	33321	34	6	11	7	243	7	3342	2883	28611	3670	128	922	7393	4299	136	18400	2103	3504	12367	4635	3376	22	2	1035	619	1920	426	698	297	727	967	2213	7735	6	2	185	23	5195	9160	18081	15	5	64	1307	621	0	2317	4269	1	0	129	2	1	2117	1	15270	3384	18	12066	40	101	9974	9	848	36	694	18858	1955	4	0	197	76	494	0	49	448	1230	85	391	277	3124	11175	21244	2063	8943	4806	4753	7174	16948	20893	3665	29	24988	7	178	19	397	1048	8	1134
1	27268	145330	17294	15332	20999	42379	84117	13099	47058	77441	21956	58448	34029	291300	39431	23410	10430	3304	9336	2544	4691	7845	24643	10	7	8	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	10251	67	3578	3601	8884	74767	38	6	15582	39736	159017	12109	4609	15350	34034	105114	8200	17571	16495	30795	48258	114289	21769	894	38122	39401	13058	12662	196	53	891	258	183	180	237	289	672	580	144	147	320	300	314	441	48	301	318	262	563	1022	428	249	1249	996	692	267	1657	197	54	52	72	33	58	265	731	109	57	197	150	130	278	601	576	376	396	827	337	175	1354	682	162	529	351	150	158	152	839	1390	291	78	184	1509	407	423	1759	982	1569	580	13	370	175	0	483	538	342	1628	659	268	212	527	681	1008	40	1040	1557	1988	1012	1034	356	1938	957	221	884	0	565	706	762	179	428	418	166	1059	129	658	129	289	629	2187	4138	386	1095	454	457	177	129	70	24	400	363	339	227	436	314	61	35	100	212	63	141	166	424	184	508	424	280
3	1	1	0	0	64	70	6	0	19	54	15341	0	29	0	9	35	1	3	2	1	21550	5	0	0	0	0	4	0	0	61	20	5	4	2310	1	1	10	2	1465	2	1	0	0	0	7264	2	10	2	1	25403	9	2	0	1	19	1	2231	140	3	4	2	28	0	7	1	1	1	2	70669	1	4	3	4	267	4	16460	1207	1	36822	12	1	0	1	2	4	0	30378	1	76	2	0	3	1	1	983	1	1410	4	1	5	3	1	34	0	4	1	1	21	1	18	0	0	0	0	1	122274	1	0	0	22	1	1	1	1	1	0	1	9	6	39207	4	2	14	0	1	22	6435	74673	130365	94	26740	3499	1	0	2	1	1	1	4	62125	14336	21	20	0	0	0	3	1	2	51	1	743	3	32	14
5	13	70	28	1396	60587	317	227	5	12	555	91130	5	42072	252	5651	126	15	3979	2889	808	19478	40976	132227	217	10248	1385	8358	15425	557	374	150	8	24	214	7	0	429	76	7118	324	15289	1786	3083	1391	80	1235	277	4705	3240	5352	19306	0	37	2949	2979	3650	1146	7	48	335	11842	1	3239	414	4	2675	48	3	228	6	81	551	5	26	541	494	211	236	7498	227	0	0	1521	3882	2636	25	1	456	2032	483	10	2572	138	53	74	50	1777	0	0	1	1	0	991	6	1	0	4173	3682	110	3246	389	11929	1	66	12424	1505	42	2862	1577	5487	119	3992	1	5	11	32	91	20	2719	473	11666	4090	0	49	5893	10739	4916	3283	128	2123	461	92	269	883	1	1	0	161	177	325	619	327	2294	6594	495	844	32	38	53	83	26	552	13929	427	32
6	11	1737	2233	179	21466	9290	25	52	3601	11192	111108	1772	1379	6772	45250	26998	298	7933	3269	2503	14945	2751	2395	1263	17064	95	67976	94019	19	280	2586	1032	136	26	46	6853	76	3380	408	983	1303	17738	142	1885	178	1018	24	837	60	4263	13985	2502	4300	3321	221	1296	2076	45	19	475	596	509	1869	591	932	87	3102	4	1098	744	6596	3211	182	2405	2847	832	335	1610	2203	3333	8595	930	613	396	4651	1036	848	92	881	7543	167	752	689	703	6905	2948	3230	2	0	1	8	13	1290	518	3529	1	3	85	750	586	142	23	59	515	485	64	430	58	1252	13	2	1436	368	0	56	9034	1214	82	367	6	262	85	18521	2509	1375	249	575	405	12	6133	429	51	5	28	10	551	14	480	571	1208	9	799	11019	36	1280	79	4406	219	32	2331	64	584	1147	4820	128
7	9577	4	425	26531	67	4102	4638	857	10625	310	1234	5	52	7672	12704	14380	3104	17587	2560	8441	34529	14347	16030	1019	655	10347	44950	24024	164	1024	189	749	11	40	2197	68	14516	922	5	1	58	3421	2157	31	49	3304	1373	3554	762	3082	109	2527	472	11028	265	16	2372	8457	8714	11	428	1351	49	1295	10798	4	3279	70	3709	207	2790	4008	1473	6013	4398	7746	311	3404	556	91	2909	61	1027	1228	2045	726	144	2093	2371	1595	1893	1025	4818	435	2296	1773	203	5399	2027	24	0	0	49	2678	4404	1	137	295	2788	122	271	3911	6854	21529	162	240	2864	0	1835	3969	1968	1124	381	72	514	997	1991	171	110	101	467	3011	8272	2445	2001	76	976	5374	1876	765	2671	541	734	3713	446	4063	5	5904	2765	10277	20925	4300	1978	2019	2069	22185	5681	2205	816	5669	3257	3442	2434	2081	6437
8	1	593	80	15	2	65	5	2	1	638	22200	37	10118	828	299	9522	0	20941	1065	276	930	1683	93085	65	1551	2	199	1036	0	372	996	126	2	25	70	1	17	849	8211	4703	1	216	1050	407	1	19	635	362	270	454	77	788	194	1395	36	59	4025	2	1	722	2082	1	46680	108	1	426	1941	3	2736	332	15211	232	15	94	18	4860	972	10714	10781	1089	0	0	381	6853	825	100	44	0	23	853	105	12	2527	0	3929	732	183	0	0	1	0	0	4949	51103	1	98	21	0	888	1140	2	783	63	10	0	1536	0	935	534	1	0	3486	8	1	0	2036	3951	288	880	4951	139	286	59	155	1	2	506	5177	8556	92	1071	111	1	0	22	254	833	1919	36	1745	0	3478	632	359	1357	168	789	257	96	159	5657	2	1	507	24
9	5374	30	6932	404	7187	11384	6350	9207	717	397	4137	15	12342	225	1180	5482	5910	18575	14972	5095	6881	16475	2273	779	27383	72	340	5172	698	2	1685	336	5819	508	870	14048	1951	195	0	199	2338	1068	1747	29	542	375	153	2262	535	1522	6061	7665	3731	1980	773	371	2340	439	5704	2538	2622	5986	1827	1385	2369	7659	257	528	4950	213	101	3451	371	72	168	1024	43	340	229	234	1714	288	643	2627	12137	195	3798	765	1631	1218	174	4447	281	9986	1045	6919	1390	5	0	6	32	0	2577	194	585	109	731	2510	31	951	0	32	18	560	5	47	40	245	336	163	84	609	396	90	174	715	856	82	1270	69	20	0	27	657	0	1025	332	449	23	756	220	899	7	515	71	6232	3064	2642	1054	5435	12087	6014	888	1493	309	2709	3555	1574	5626	1461	20	246	1011	949	8411
10	71	25	1	1627	31206	5	10	15264	5240	15192	116	2777	5390	4606	1970	338	261	1344	3265	25944	669	97	578	19825	2259	1209	14755	6399	1422	1192	56	8	78	213	26	0	106	274	1368	226	3205	309	340	5478	229	1056	1412	62	7	1036	8962	807	1195	1833	815	24	53	16	2	43	1	10278	134	2485	2453	5574	5613	22	12	0	120	6184	4	1988	2129	681	0	862	1488	5487	19	1453	407	280	233	1883	964	1634	176	59	133	13	2942	0	1863	35	287	4	16	232	1	14	476	1197	23059	22162	0	4	635	0	1	351	0	0	0	2794	19	2076	588	1	0	513	2	1	34	1	653	1	2098	1005	25431	10	315	127	3679	1	178	1126	640	647	675	2	5521	6679	42	212	6588	823	1625	9	0	40	721	2	8095	182	1732	403	0	101	269	3	620	1625	1
