Site,Project,Sample_Type,Treatment.type,Sample.ID,JGI.ID,GOLD.ID,Plot,Quad,Treatment,Replicate,Horizon,Year,Date_Sampled,Sampling_Weather,Time_period,Sample_Initials,DNA_RNA,Notes,Date_weighed_for_DNA,Sequence_depth,Sequence_bin,Total_Tree_BioMass,Total_Tree_Stem_Count,Total_Tree_Basal_Area,Total_ECM_Tree_BioMass,Total_ECM_Tree_Stem_Count,Total_ECM_Tree_Basal_Area,Total_AM_Tree_BioMass,Total_AM_Tree_Stem_Count,Total_AM_Tree_Basal_Area,ACRU_BIOMASS,ACRU_STEM_COUNT,ACRU_BASAL_AREA,ACSA_BIOMASS,ACSA_STEM_COUNT,ACSA_BASAL_AREA,BEPA_BIOMASS,BEPA_STEM_COUNT,BEPA_BASAL_AREA,FRAM_BIOMASS,FRAM_STEM_COUNT,FRAM_BASAL_AREA,FAGR_BIOMASS,FAGR_STEM_COUNT,FAGR_BASAL_AREA,BEAL_BIOMASS,BEAL_STEM_COUNT,BEAL_BASAL_AREA,PIRU_BIOMASS,PIRU_STEM_COUNT,PIRU_BASAL_AREA,POGR_BIOMASS,POGR_STEM_COUNT,POGR_BASAL_AREA,Soil.Temp.10.cm,Soil.Temp.5.cm,Soil.Moisture,Min.Soil5,Ave.Soil5,Min.Soil10,Ave.Soil10,Max.frost,Max.Snow,Mean.frost,Mean.snow,Frost.AUC,Snow.AUC,FTC.5,FTC.10,DWF,Thaw,Thaw.day,BL.Max.frost,BL.Max.Snow,BL.Mean.frost,BL.Mean.Snow,BL.AUC.frost,BL.AUC.Snow,Net_Ammonification_(_g_Ammonium-N_g_soil-1_days-1),Net_Mineralization (_g_N_g_soil-1_day-1),REL,Proteolytic_Rate,longitude.dd,latitude.dd,Soil_perc_N,Soil_perc_C,Soil_pH,mbn,acid_phosphatase,nag_ase,phenol_oxidase,peroxidase,beta_glucosidase,cello_biohydrolase,Respiration,Extractable_Organic_C,Amino_Acid_N,Dissolved_Inorganic_n,Water_Content,Photosynthesis,Respiration_pat,Change_Net_Mineralization,Change_Soil_perc_N,Change_Soil_perc_C,Change_Soil_pH,Change_Respiration_pat,Change_mbn
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,1,Soil_1,Ga0599130,1,NA,Reference,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,Flash-frozen_in_liquid_N_day_after_sampling,15218_sample_A11,126103,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.46,NA,NA,-71.701875,43.94525,1.361,36.3,4.3,710.95,,,,,,,,,,,,,28.21,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,2,Soil_2,Ga0599130,1,NA,Reference,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,Pat_kept_at_4oC_until_all_samples_were_processed_for_the_day_=_probably_no_good_RNA,15218_sample_B6,148333,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.92,NA,NA,-71.701875,43.94525,0.522,12.253,4.45,97.83,,,,,,,,,,,,,9.2,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,3,Soil_3,Ga0599130,1,NA,Reference,c,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218B7,113040,100_150000,3189.257578,20,4913.011094,842.2575784,14,1371.011094,2347,6,3542,2347,6,3542,0,0,0,0,0,0,0,0,0,814,13,1309,29,1,62,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.72,NA,NA,-71.701875,43.94525,0.902,29.642,4.38,425.12,,,,,,,,,,,,,24.29,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,4,Soil_4,Ga0599131,2,NA,Reference,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15217_sample_A2,84349,80_100000,4554,65,7513,3369,56,5484,1185,9,2029,1185,9,2029,0,0,0,0,0,0,19,1,52,419,12,733,0,0,0,0,0,0,227,2,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.8,NA,NA,-71.70151667,43.94495167,0.839,20.008,4.63,307.91,,,,,,,,,,,,,18.29,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,5,Soil_5,Ga0599131,2,NA,Reference,b,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15217_sample_A6,119558,100_150000,4554,65,7513,3369,56,5484,1185,9,2029,1185,9,2029,0,0,0,0,0,0,19,1,52,419,12,733,0,0,0,0,0,0,227,2,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,-71.70151667,43.94495167,0.469,11.558,4.46,88.92,,,,,,,,,,,,,19.89,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,6,Soil_6,Ga0599131,2,NA,Reference,c,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15218_sample_B8,94506,80_100000,4554,65,7513,3369,56,5484,1185,9,2029,1185,9,2029,0,0,0,0,0,0,19,1,52,419,12,733,0,0,0,0,0,0,227,2,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.84,NA,NA,-71.70151667,43.94495167,0.587,12.955,4.52,278.6,,,,,,,,,,,,,17.07,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,26,Soil_26,Ga0599138,3,NA,Warmed,b,Min,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,NA,NA,15217_sample_A9,59801,50_80000,2856,20,6358,576,11,3135,2280,9,3223,1688,7,2653,0,0,0,210,1,285,383,1,285,576,11,3135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.44,NA,NA,-71.70080333,43.94557833,0.292,6.034,4.94,2.26,,,,,,,,,,,,,0.69,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,29,Soil_29,Ga0599139,4,NA,Warmed,b,Min,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,NA,NA,15217_sample_A10,98659,80_100000,4509,18,7974,1643,9,2124,2866,9,5850,2672,6,3990,95,2,162,0,0,0,99,1,1697,222,8,427,1420,1,1697,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,NA,NA,-71.70087667,43.94569833,0.321,6.934,4.91,26.77,,,,,,,,,,,,,2.17,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,30,Soil_30,Ga0599139,4,NA,Warmed,c,Min,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,NA,NA,NA,NA,NA,4509,18,7974,1643,9,2124,2866,9,5850,2672,6,3990,95,2,162,0,0,0,99,1,1697,222,8,427,1420,1,1697,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.41,NA,NA,-71.70087667,43.94569833,0.165,2.983,5.07,5.01,,,,,,,,,,,,,0.72,,,,,,
HBEF,CCASE,Soil_Mic_Commun,pre-treatment,10,Soil_10,Ga0599133,4,NA,Warmed,a,Organic,2013,130701,Overcast_humid_(~65%)_75__F,NA,R._Sanders-Demott_A.Lin-Schweitzer_P.Sorensen,DNA,NA,15217_sample_A3,68598,50_80000,4509,18,7974,1643,9,2124,2866,9,5850,2672,6,3990,95,2,162,0,0,0,99,1,1697,222,8,427,1420,1,1697,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.21,NA,NA,-71.70087667,43.94569833,0.632,14.508,4.47,426.41,,,,,,,,,,,,,18.73,,,,,,
