Sample #,GOLD.ID,NumGenes,portal,JGI SampleName,Bhatnagar Lab SampleName,Year,Season,Treatment,Plot,Quad,Horizon
1,Ga0599130,,,CCASE.MG.2013.1,CCASE.MG.2013.PG.1.123.OH,2013,PG (July),Ref,1,1+2+3,OH
2,Ga0599131,,,CCASE.MG.2013.2,CCASE.MG.2013.PG.2.123.OH,2013,PG (July),Ref,2,1+2+3,OH
3,Ga0599132,,,CCASE.MG.2013.3,CCASE.MG.2013.PG.3.123.OH,2013,PG (July),Warmed,3,1+2+3,OH
4,Ga0599133,,,CCASE.MG.2013.4,CCASE.MG.2013.PG.4.123.OH,2013,PG (July),Warmed,4,1+2+3,OH
5,Ga0599134,,,CCASE.MG.2013.5,CCASE.MG.2013.PG.5.123.OH,2013,PG (July),WFT,5,1+2+3,OH
6,Ga0599135,,,CCASE.MG.2013.6,CCASE.MG.2013.PG.6.123.OH,2013,PG (July),WFT,6,1+2+3,OH
7,Ga0599136,,,CCASE.MG.2013.7,CCASE.MG.2013.PG.1.123.AH,2013,PG (July),Ref,1,1+2+3,AH
8,Ga0599137,,,CCASE.MG.2013.8,CCASE.MG.2013.PG.2.123.AH,2013,PG (July),Ref,2,1+2+3,AH
9,Ga0599138,,,CCASE.MG.2013.9,CCASE.MG.2013.PG.3.123.AH,2013,PG (July),Warmed,3,1+2+3,AH
10,Ga0599139,,,CCASE.MG.2013.10,CCASE.MG.2013.PG.4.123.AH,2013,PG (July),Warmed,4,1+2+3,AH
11,Ga0599140,,,CCASE.MG.2013.11,CCASE.MG.2013.PG.5.123.AH,2013,PG (July),WFT,5,1+2+3,AH
12,Ga0599141,,,CCASE.MG.2013.12,CCASE.MG.2013.PG.6.123.AH,2013,PG (July),WFT,6,1+2+3,AH
13,Ga0599142,,,CCASE.MG.2014.1,CCASE.MG.2014.PG.1.1234.OH,2014,PG (July),Ref,1,1+2+3+4,OH
14,Ga0599143,,,CCASE.MG.2014.2,CCASE.MG.2014.PG.2.1234.OH,2014,PG (July),Ref,2,1+2+3+4,OH
15,Ga0599144,,,CCASE.MG.2014.3,CCASE.MG.2014.PG.3.1234.OH,2014,PG (July),Warmed,3,1+2+3+4,OH
16,Ga0599145,,,CCASE.MG.2014.4,CCASE.MG.2014.PG.4.1234.OH,2014,PG (July),Warmed,4,1+2+3+4,OH
17,Ga0599146,,,CCASE.MG.2014.5,CCASE.MG.2014.PG.5.1234.OH,2014,PG (July),WFT,5,1+2+3+4,OH
18,Ga0599147,,,CCASE.MG.2014.6,CCASE.MG.2014.PG.6.1234.OH,2014,PG (July),WFT,6,1+2+3+4,OH
19,Ga0599148,,,CCASE.MG.2022.1,CCASE.MG.2022.PSM.1.12.OH,2022,PSM (April),Ref,1,1+2,OH
20,Ga0599149,,,CCASE.MG.2022.2,CCASE.MG.2022.PSM.1.34.OH,2022,PSM (April),Ref,1,3+4,OH
21,Ga0599150,,,CCASE.MG.2022.3,CCASE.MG.2022.PSM.2.12.OH,2022,PSM (April),Ref,2,1+2,OH
22,Ga0599151,,,CCASE.MG.2022.4,CCASE.MG.2022.PSM.2.34.OH,2022,PSM (April),Ref,2,3+4,OH
23,Ga0599152,,,CCASE.MG.2022.5,CCASE.MG.2022.PSM.3.12.OH,2022,PSM (April),Warmed,3,1+2,OH
24,Ga0599153,,,CCASE.MG.2022.6,CCASE.MG.2022.PSM.3.34.OH,2022,PSM (April),Warmed,3,3+4,OH
25,Ga0599154,,,CCASE.MG.2022.7,CCASE.MG.2022.PSM.4.12.OH,2022,PSM (April),Warmed,4,1+2,OH
26,Ga0599155,,,CCASE.MG.2022.8,CCASE.MG.2022.PSM.4.34.OH,2022,PSM (April),Warmed,4,3+4,OH
27,Ga0599156,,,CCASE.MG.2022.9,CCASE.MG.2022.PSM.5.12.OH,2022,PSM (April),WFT,5,1+2,OH
28,Ga0599157,,,CCASE.MG.2022.10,CCASE.MG.2022.PSM.5.34.OH,2022,PSM (April),WFT,5,3+4,OH
29,Ga0599158,,,CCASE.MG.2022.11,CCASE.MG.2022.PSM.6.12.OH,2022,PSM (April),WFT,6,1+2,OH
30,Ga0599159,,,CCASE.MG.2022.12,CCASE.MG.2022.PSM.6.34.OH,2022,PSM (April),WFT,6,3+4,OH
31,Ga0599160,,,CCASE.MG.2022.13,CCASE.MG.2022.PSM.1.12.AH,2022,PSM (April),Ref,1,1+2,AH
32,Ga0599161,,,CCASE.MG.2022.14,CCASE.MG.2022.PSM.1.34.AH,2022,PSM (April),Ref,1,3+4,AH
33,Ga0599162,,,CCASE.MG.2022.15,CCASE.MG.2022.PSM.2.12.AH,2022,PSM (April),Ref,2,1+2,AH
34,Ga0599163,,,CCASE.MG.2022.16,CCASE.MG.2022.PSM.2.34.AH,2022,PSM (April),Ref,2,3+4,AH
35,Ga0599164,,,CCASE.MG.2022.17,CCASE.MG.2022.PSM.3.12.AH,2022,PSM (April),Warmed,3,1+2,AH
