"","Soil_221","Soil_198","Soil_196","Soil_86","Soil_207","Soil_205","Soil_172","Soil_202","Soil_7","Soil_121","Soil_176","Soil_29","Soil_218","Soil_197","Soil_203","Soil_3","Soil_161","Soil_204","Soil_190","Soil_80","Soil_210","Soil_195","Soil_4","Soil_222","Soil_232","Soil_208","Soil_229","Soil_215","Soil_217","Soil_81","Soil_167","Soil_119","Soil_227","Soil_199","Soil_211","Soil_107","Soil_98","Soil_188","Soil_182","Soil_220","Soil_174","Soil_228","Soil_18","Soil_192","Soil_231","Soil_216","Soil_236","Soil_179","Soil_206","Soil_10","Soil_6","Soil_235","Soil_26","Soil_14","Soil_194","Soil_237","Soil_2","Soil_191","Soil_233","Soil_181","Soil_11","Soil_16","Soil_177","Soil_166","Soil_184","Soil_189","Soil_238","Soil_1","Soil_100","Soil_163","Soil_226","Soil_15","Soil_169","Soil_12","Soil_234","Soil_193","Soil_109","Soil_223","Soil_171","Soil_34","Soil_5","Soil_201","Soil_230","Soil_8","Soil_97","Soil_13","Soil_102","Soil_89","Soil_150","Soil_149","Soil_142","Soil_94","Soil_17","Soil_152","Soil_126","Soil_85","Soil_108","Soil_139","Soil_144","Soil_95","Soil_141","Soil_129","Soil_125","Soil_87","Soil_143","Soil_116","Soil_83","Soil_111","Soil_128","Soil_156","Soil_140","Soil_115","Soil_130","Soil_146","Soil_124","Soil_112","Soil_148","Soil_88","Soil_154","Soil_122","Soil_137","Soil_135","Soil_147","Soil_155","Soil_145","Soil_110","Soil_84","Soil_127","Soil_136","Soil_138","Soil_96","Soil_134","Soil_114","Soil_101","Soil_99","Soil_123"
"X1......",315588.611111111,157807.877777778,157725.688888889,570774.595987654,75988.8888888889,1574338.26742265,262656.055555556,2449100.70972222,157790.7,534951.838888889,320684.578363599,292138.902970092,208876.944444444,315610.037301587,1187650.13441405,659858.85,844313.399145299,941160.214285714,319521.961965812,611148.811111111,420134.82948718,130967.722222222,287356.3,77310.8905982906,98049.1373015873,282578.944748396,1071003.16444444,485927.833333333,145787.453663004,538300.266666666,600938.483333334,1224903.95,985719.883333333,180331.93883823,243524.366666667,81686.1111111111,139659.96984127,527274.955555555,207527.9,178741.511111111,1364107.27901235,388400.412124282,296559.234346504,156671.260683761,320314,106381.615384615,479245.967174551,204663.753259034,26441.6333333333,411193.611111111,464332.15,767441.463492063,52049.3264268828,325272.118803419,525558.172222222,379712.25952381,638902.308578182,95279.0999999998,175052.752279635,657606.033333333,524344.192592592,549045.279770348,360172.014285714,364645.508730159,470227.644444445,416866.333333333,279412.09189463,310528.473015873,956991.268298132,274072.471428571,554399.588888889,475898.916666667,99551.0666666666,449265.227293274,297221.06984127,190450.347619048,217066.352380952,163365.966666667,310589.631594056,109603.923969293,406867.649382716,176853.234188034,416221.322222222,220491.022222222,237454.352380952,204744.416666667,440434.305555556,222814.9,128832,116344.9,107274.416666667,355639.461111111,841894.644444445,55678.5,274119.622222222,286853.866666667,2185256.38888888,167035.1,363195.333333333,1459901.33333333,293950.916666666,471015.105555556,372750.533333333,175038.694444444,215373.622222222,340945.9,1022662.81666667,177841.75,262463.455555556,86400,427937.65,913299.055555556,253703.855555556,121347.8,352528.533333333,305766.022222222,426691.75,238822.666666667,172330.75,1158995.48888889,527441.583333332,574566.233333333,588219.885714285,148155.333333333,9249,406992.611111111,279203.066666666,1125314.58888889,323796.716666667,43013.9777777778,8756.36666666667,201311.177777778,408801,350102.727777778,570256.261111111,10195.7333333333
"X1.1....",694056.833333333,552024.478030303,272539.466666666,1593077.45632716,241645.6,1735962.41086432,864960.206060605,3150166.425,596557.606060606,788262.790530303,902306.649162687,881822.96961659,334156.058333333,1346484.11269841,1694409.03300482,1461540.97310606,1370677.18164336,2027278.21904762,436413.99701826,1679422.63686869,979739.493910256,768601.468434343,747313.415151515,189592.745299145,389445.094642857,978440.090153817,1810243.26691919,971946.952777777,422504.955998168,827107.511111111,2124755.47790404,941102.276388889,470280.098611111,956008.708206686,802290.066666666,177937.014141414,626995.164502164,890792.891666666,440285.222222222,553627.696969697,3516445.86450617,698332.058088483,428267.769199595,307500.456099456,767648.896969696,432120.974358974,1109125.81911159,543536.23870314,107252.466666667,730085.394191919,929129.287499999,1828260.95873016,465563.350789429,622069.36520979,704483.808712121,1289496.93100649,972735.60616768,196891.708333333,499947.064032421,1944807.3030303,1136248.64326599,2113397.96584001,1058361.57662338,1255750.02258297,1024858.71111111,839304.181818182,613255.165595161,478050.829761905,2055416.18418744,641494.511904762,1661222.34949495,1104573.83636364,399224.2,817602.031014847,997735.006926406,580484.575108225,900790.576443001,463620.866666666,935116.14729322,279463.887807848,1283829.82721661,200017.77062937,1390698.86666667,1057668.08497475,628532.447619047,687489.839267676,672236.354166667,1032502.5280303,671488,431628.248484849,538399.770833333,843431.260984848,2177306.71111111,343554.729166666,518788.133333333,828234.275,2151867.66666667,223415.933333333,1292620.32323232,1786111.91515152,794448.560606061,909318.695833332,1227548.04848485,1147914.44583333,1196171.49722222,1788238.99027778,1838814.4125,197090.710227273,1253884.46666667,195680,1202210.90416667,2011703.66666666,935131.206060606,532081.6,725123.066666666,639168.23030303,902282.062499999,705231.999999999,1002869.10416667,1832107.3030303,1219219.89583333,1536922.33333333,924966.114285715,735555.999999999,176887.125,497619.666666666,1469134.63611111,1789939.47070707,645990.2375,243234.533333333,9946.19999999999,778112.399999999,1267426,1276236.22083333,1465316.96628788,2913.06666666667
"X1.1.1..",7516496.66666666,4523301.45757576,2873021.33333333,15211705.2685185,2215466.93333333,16156328.5588029,8168760.11515151,28021168.2333333,5496624.98181818,8194011.27424242,7946487.43428947,7594922.95038275,3657579.76666666,10071795.4761905,19715466.8969328,14536866.5681818,15439734.2095571,21486889.3142857,4669349.35862471,14703362.2727273,10341474.1884615,5753055.13636364,6406540.05454545,1834531.53846154,3707892.63095238,10140936.9700654,16526040.2842424,9910855.96666666,3418086.66098901,7780998.13333333,16264643.0621212,10612094.5833333,8150181.91666667,9056071.38926039,8192773.2,1709090.69090909,6194284.46839827,9296048.03333333,4468587.6,4964839.17575757,35305447.7814815,7175442.93860182,4720554.93860182,3212769.88811189,8262182.10909091,4382661.84615385,12568467.8010171,5724436.59250253,1101090,7155832.00909091,9688475.45,17865160.0190476,3050007.46519757,6190532.84731935,7683137.01969697,12988324.8551948,9738697.0701621,1199106.5,5328768.5118541,19331579.8909091,10174909.820202,21257144.2664364,11059126.8415584,9961241.04415585,10654163.4,7757217.45454545,6641145.66694298,4945968.50952381,22477725.9567043,6465524.45714286,15764883.0181818,11480379.2909091,3752825.8,9108429.2813456,9143422.48398268,5592678.55324675,7677477.91471861,4657548.4,8652457.65630929,2700823.85823007,8852679.03501684,2623531.90862471,11327984.9333333,9145902.60757576,6611123.42857143,6623442.31969697,7562148.58333333,6044419.79090909,5715456,1966199.45454545,4532660.25,5930698.20454545,21324199.7333333,3032065.75,5221791.73333333,6048219.03333333,18316859.3333333,1846658,9440093.6969697,17048703.8545455,4526851.81818182,9225471.08333333,12722321.4545455,7074564.21666667,4802483.16666667,11029449.4166667,20153083.95,2313322.43181818,10885485.7333333,2144880,12389636.65,22326595.3333333,8207158.31515151,4595188.8,7441103.2,6625866.64242424,7821771.75,7137800,9415692.25,20725944.8242424,10519143.75,12918995.6,9250671.08571428,7294720,513319.5,5715444.66666666,8544440.83333333,16548631.3212121,3763254.25,1503738.66666667,133342,8035318.66666667,12843764,9533801.91666666,14231546.280303,98316
"X1.1.1.1",2494925.13888889,1482298.1635101,680742.444444444,6337201.3746142,1062845.11111111,4970793.32031798,3117326.7020202,9180540.79861111,2237332.25757576,1964169.93781566,3031801.37251276,3590808.14314679,1051946.74305556,2147709.59920635,5613169.22860827,5370297.62784091,4819937.49441531,7854091.85714286,1186033.53620338,6651958.76136364,3768058.39342949,2542784.00568182,2568907.31060606,635683.264957265,1356603.53323413,3771759.23916981,5674761.60239899,3544250.50694444,984558.813301282,2606502.44444444,4701178.9011995,3502443.75347222,2192086.97569444,3467302.34566025,3100277.5,566841.878787879,2345774.98340548,3145071.54861111,1753646.05555556,2086575.67676768,12508934.4621914,2363570.75346167,1425256.47568389,587583.486790987,2889103.45454545,1600629.55128205,4050006.37151804,2144651.07733874,404517.166666667,1964392.54482323,3632040.28125,6526080.47619048,799642.202560368,2262965.52248446,2552554.3772096,4648141.85646645,3325851.79342916,329466.395833333,1854183.44528875,7372191.04545454,4140988.84806397,7870676.47200155,3984164.05411255,2618322.36850649,3927072.16666667,2863802.72727273,2138447.03796322,1207287.45734127,7413636.76333123,2323478.74404762,5923728.40909091,4175148.37878788,1502919.33333333,2850008.27044705,3563285.78643579,1952229.73971861,3167560.99684343,1715468.16666667,2829573.77539164,1061935.87073055,2347663.289422,610013.102175602,3569490.27777778,4481323.64614899,2215021.97619048,2533873.30082071,1529150.22569444,1870124.98295455,2986560,484662.560606061,1677495.57291667,1344672.25157828,8714063,1143969.84375,2311444.44444444,1964656.97916667,5408366.94444444,367801.833333333,2665522.62626263,5223882.06060606,1270704.65909091,2432701.03819444,4626631.39393939,3008990.10763889,1158980.14583333,3461871.41319444,6367781.63541667,565410.497159091,5536306.94444444,777000,4237576.40625,7598081.94444444,3644742.7020202,2213430,2673973.33333333,1837142.23232323,1760079.84375,2647680,3587438.90625,5748110.15656566,3701318.59375,3152703.83333333,3651035.14285714,2804490,112722.1875,1443369.72222222,2291015.63194445,4935382.72727273,1021867.73958333,242914.222222223,30592.8333333333,2924351.22222222,4603273.33333333,3431165.00347222,4316552.6852904,15475.6666666667
"X1.1.1.100",671858.999999999,351617.090909091,169176.333333333,1369570.2808642,217399.666666667,1351541.4679682,737460.015151515,2270524.84166667,515170.848484848,620340.840909091,661703.736580795,764643.766510938,249250.833333333,925959.809523809,1277404.36501796,1298025.30151515,1237004.76981352,1835550.04761905,342006.103923854,1415957.27272727,934969.967948717,569576.803030303,544590.254545454,156821.051282051,346850.869047619,969414.622547664,1453030.56424242,872916.166666666,231457.026556776,661402.666666666,1285120.46212121,722112.25,880715.916666667,886400.712259371,764884.666666666,133901.424242424,599557.692207791,732255.833333333,405477.666666666,447439.242424242,3091705.91358024,611232.135764944,368778.135764944,286609.75990676,699066.242424242,414128.128205128,1242810.69583431,525942.781155015,104848.666666667,510822.075757575,800229.583333333,1725873.78571428,182691.513424519,494224.988344988,593214.219696969,1201441.12662338,836055.110587639,80486.1,466995.138804457,1744251.75757576,923300.927609427,2000413.33006355,1022654.10822511,798871.367965368,916872.166666666,722245.454545454,576099.489638021,327504.523809524,1807028.49538405,570723.309523809,1370799.15151515,960870.59090909,378565.5,709443.504484876,934358.85064935,482939.743722943,704668.995670995,438623.666666666,722143.596734825,255398.428551944,744693.341189674,146012.298368298,937894.666666666,941280.952020202,570235.571428571,607774.719696969,300852.916666667,393933.757575757,605120,110954.121212121,431787.25,356427.537878788,1852097,294431.666666666,464646,543081.833333333,1406821.33333333,169642,843141.363636363,1327729.78787879,303544.401515151,601810.749999999,1183382.12121212,619557.416666667,256066.166666667,832840.833333332,1667153.41666667,173762.431818182,1132073.33333333,193860,1052150.58333333,1938196.66666666,753912.181818182,452681,664512.666666666,424841.242424242,554592.25,680317.999999999,930343.916666666,1557806.25757576,953290.083333333,1328363.33333333,881979.285714286,729895.999999999,18498,359000.666666666,670951.333333333,1218851.45454545,186212.25,129191,7501.99999999999,757333.333333332,1190837,733649.25,1095100.28030303,3641.33333333333
"X1.1.1.101",185081.611111111,114002.561111111,87773.4888888889,371823.844753086,52780.5555555556,316965.310194062,195722.055555556,560380.776388889,131445.233333333,164685.747222222,197332.497389785,177865.896239071,90297.1944444444,165752.153968254,470439.318811212,349988.741666667,327610.108119658,528291.380952381,86371.9335470085,345663.844444445,234097.386538462,130491.305555556,144646.433333333,42433.9948717949,88365.1456349207,241859.500776765,352842.994444445,232550.027777778,81189.0378205128,152064.2,318567.758333333,157022.413888889,177861.836111111,221065.09061128,198109.9,40434.1111111111,155748.103174603,218730.605555556,115590.077777778,118557.911111111,807338.252469136,161965.065552178,113847.598885512,56046.5512820513,201278.666666667,108978.987179487,319302.245766113,132919.011415063,27053.7666666667,159806.916666667,232930.758333333,421391.307936508,56806.88204154,141251.56025641,166749.747222222,313544.33452381,218533.438897332,24476.1833333334,131483.589159068,466257.9,242751.885185185,520831.582252618,273344.814285714,208399.192063492,240532.677777778,170903.333333333,161422.975582574,110754.823015873,547966.915470345,153241.038095238,375069.455555556,282800.666666667,93890.4666666667,219879.979720988,244007.86984127,137742.980952381,189317.216666667,109012.1,206744.411913205,60981.2049158289,155309.57654321,66221.5752136752,235351.255555556,225262.669444444,159704.419047619,163017.097222222,220993.680555556,163991.383333333,140544,42832.6333333334,109344.625,127989.463888889,532449.288888889,75433.2083333334,113334.355555556,115916.261111111,316924.388888889,26906.0333333333,167827.666666667,350476,112234.833333333,228807.363888889,309125.066666667,170282.319444444,109046.994444444,287033.452777778,432818.175,42633.625,266453.855555556,47860,309225.258333333,518332.055555556,223373.988888889,119939.6,166846.066666667,200279.822222222,119412.875,165718.666666667,230566.958333333,402432.088888889,233616.375,202716.3,215379.485714286,177793.333333333,16185.75,140833.277777778,169019.55,429373.677777778,64773.3916666667,18389.8444444444,3335.56666666667,197516.911111111,311718,237089.302777778,379172.036111111,1274.46666666667
"X1.1.1.102",63460.7777777778,38480.6474747475,19386.2222222222,119184.208333333,18752.7555555556,158680.069986751,80307.444949495,253177.047222222,53191.3727272727,93352.1419191919,73285.7939036141,69336.248649105,20873.4777777778,216086.226190476,119131.275828191,125806.243939394,97400.701942502,173885.580952381,27230.1086635587,135569.631313131,81089.7935897437,74756.7323232323,61193.6651515151,16035.7991452992,36347.384920635,98449.4841423353,158163.36969697,85305.8222222223,27949.1672161172,71778.0444444445,272486.657070707,108283.861111111,70704.8055555556,88798.8340763257,72307.5666666667,15229.0585858586,60389.6700577201,66702.6222222223,41388.7,46768.3414141414,311185.1,58226.4565687268,39942.9010131712,48333.4176379176,62923.4303030304,40490.6923076924,183493.455208739,52700.1532590342,10005.1666666667,70794.7025252525,76106.5666666667,193423.585714286,33366.648649105,47123.7325174825,72005.0267676768,114046.76017316,87203.3419115164,13382.0333333333,42433.618946302,161011.236363636,82731.1303030303,193186.491025759,105693.771861472,153521.233694084,97579.9388888889,75005.8484848486,63097.0777532161,40741.4158730159,161213.376612041,52814.0452380953,145279.071717172,81740.9530303031,36823.5166666667,65123.5446536915,96712.0743867245,53260.8584415585,68458.4347763348,43888.6333333334,77711.6679576925,24747.2521744213,163539.93030303,11700.291996892,166452.588888889,83726.0585858586,55116.380952381,56261.0156565657,33064.9722222222,59731.8696969697,50752,25660.3484848485,46811.0833333334,68200.8207070707,149537.133333333,31033.8333333334,45010.0222222222,91837.5111111111,176741.722222222,29933.1666666667,180773.98989899,142398.648484849,54078.9772727273,56562.6388888889,120068.848484849,75152.6277777778,66149.1666666667,121421.555555556,171496.483333333,12205.0227272727,94866.8555555556,20600,96410.7166666668,187750.722222222,70092.9282828283,40085.6,68396.7333333334,52779.3858585859,92995.75,68999.3333333334,94129.0833333334,139419.991919192,105881.583333333,235618.366666667,108708.885714286,71494.6666666668,9249,30341.9444444445,166902.777777778,143650.581818182,47494.9166666667,43597.4444444444,504.166666666667,71950.1111111112,115209.333333333,79362.1944444445,114623.73989899,0
"X1.1.1.105",81490.8055555556,53446.7036616162,18268.1111111111,190289.136188272,30524.3111111111,153842.303600655,100830.348989899,255466.481944445,72499.5545454546,64953.2154671717,85756.9426299616,107612.192039335,31387.9847222222,128756.861111111,149958.194713088,165382.468371212,109198.993657731,266355.866666667,16355.6941579254,195953.890151515,104957.839262821,87164.9867424242,78040.3696969697,20902.8205128205,46863.1314484127,126156.790242854,175104.902550505,107799.009722222,37341.4615155678,74198.3777777778,188841.837941919,55741.5381944445,28480.3159722222,122833.284262074,101179.9,16799.9272727273,80530.355916306,90938.8236111112,58698.3666666667,63625.0282828283,395699.196450618,67708.5560283689,56281.0560283688,32082.4766899767,90054.3393939395,54923.5512820513,237707.205404392,66862.3130023641,13888.5,61258.1602272728,105940.327083333,256144.244444445,39031.4246010638,66773.1348581974,61130.6457702021,151934.486498918,108292.396734634,12805.4541666667,61188.2177304965,232340.160606061,123871.627356902,267275.099225922,142546.118181818,116544.659199134,115780.716666667,89984.9696969698,82376.4133892113,45350.7561507937,233125.810686241,72676.0869047619,190279.112121212,127204.960606061,52886.6833333334,88241.5882235968,142114.052020202,63668.9152597403,104342.189375902,56197.6333333334,100562.779562916,33428.5523288325,105685.239085297,15394.0476301476,134253.811111111,138074.173800505,73866.0476190477,82730.5166035354,20801.6215277778,78828.2731060606,89792,25840.1363636364,61005.2187500001,54112.709280303,257849.911111111,41775.1145833334,58950.5777777778,74124.1152777778,134330.611111111,13597.1666666667,117472.353535354,144628.103030303,50912.8787878788,81089.3923611112,151251.636363636,111091.645138889,68880.3263888889,148578.211805556,167001.80625,3176.17329545455,166413.077777778,23320,140307.852083333,227926.277777778,106151.998989899,65539.6,81269.7333333334,42002.1838383838,59572.03125,86744.6666666667,128238.552083333,153133.471717172,124313.28125,158091.366666667,135144.6,97503.3333333334,9827.0625,40747.3888888889,115428.506944444,136001.925252525,35246.0520833333,19120.8888888889,826.833333333334,100067.222222222,155288.666666667,120697.732638889,143113.475063131,0
"X1.1.1.116",28528.9722222222,22674.5286616161,6755.1111111111,60117.8020833333,9251.24444444444,59040.0504637206,40045.6156565656,104633.573611111,27718.6878787878,40567.2946338384,36058.3251790615,34318.6410313239,10231.4597222222,112383.777777778,56832.1237911025,60690.7225378787,38736.8084013208,78294.1333333333,9911.90024766899,67320.4734848485,36185.7889423076,41183.5284090909,31593.603030303,7898.30769230768,18143.2891865079,45447.8327960454,69942.1475505049,39312.1013888888,17364.1941620879,29145.5111111111,143735.833775252,21947.8506944444,12425.9618055555,45413.7343127321,35095.0999999999,7372.19393939393,28914.4987734487,29798.7319444444,19264.9666666666,23792.6282828283,149447.531944444,24547.8978723404,15776.7312056738,23697.6048951049,29972.206060606,19875.4358974358,61501.5725552372,23444.2803782505,4972.83333333332,34737.218560606,34182.1729166666,84025.6444444443,22886.3590868794,22438.285499223,23078.9249368686,55776.7775703462,35909.5296247045,7768.27916666666,20933.8035460993,78248.1272727271,41276.5477272727,96378.0595349388,47471.1848484848,72937.0020562769,42939.2833333333,34087.303030303,26847.6119707715,15401.9501984127,77278.6408008066,25124.9845238095,75493.312121212,40466.9106060606,17879.4833333333,31064.4466446083,42776.852020202,24583.9081168831,38077.0191378066,20540.6999999999,41869.2624529873,11776.5551452537,86425.8866161615,4355.49121989122,87209.7444444443,43950.1418560606,26348.4047619047,29063.220770202,13779.4340277778,44421.1814393939,27328,18631.803030303,25167.2812499999,39600.0634469697,76780.6444444444,16771.8854166666,17930.6444444444,47724.4402777777,63908.611111111,12282.1666666667,93477.3535353534,57395.8363636363,32365.7121212121,31495.3298611111,55040.9696969696,50350.2993055555,51907.1180555556,82393.5659722221,70204.0270833332,2516.23579545455,50871.1444444444,8479.99999999998,48751.3145833332,80393.2777777776,33680.4656565657,20360.4,29587.9333333333,19345.2505050505,42010.4687499999,31971.3333333333,48847.9479166666,47470.8717171716,51659.2187499999,116485.3,37298.4,35558.6666666666,8670.9375,12609.3888888889,97535.7152777776,54433.7919191918,25154.1145833333,23325.2222222222,221.833333333333,35717.8888888888,55903.9999999999,50650.2118055556,54853.9542297979,0
"X1.1.1.125",176786.027777778,107905.850883838,35297.1555555556,417336.875231482,69000.8888888889,355389.342966254,221851.343434343,633508.326388889,159142.687878788,125155.422411616,206739.721717393,243240.228980215,64662.7152777778,227856.134126984,343196.349728286,378993.839204545,350506.486179099,518887.142857143,101590.194692113,449514.206818182,272247.805608974,188362.695075758,175569.81969697,45409.6188034188,102299.432837302,277816.595646434,411936.41199495,252163.645833333,72282.9774954213,184022.088888889,428539.139330808,215894.889583333,152657.422916667,263051.39658899,221785.9,38932.3939393939,173437.25036075,200985.876388889,124617.855555556,140687.850505051,889520.628240741,168142.699966228,94199.6221884499,42167.8271173271,196265.272727273,118672.602564103,330309.943291475,150861.914150625,30142.4333333333,135438.946338384,239525.20625,485940.268253968,75381.9655542891,144460.657721445,156889.119381313,347512.682332251,228876.724389987,27442.5791666667,131323.724924012,510944.960606061,276022.069949495,580028.927991542,286641.727705628,232938.042532467,265431.066666667,208624.636363636,156769.172997452,81324.6533730159,496161.037220935,163003.686904762,415386.112121212,275096.893939394,109961.966666667,189292.78507757,254609.555988456,137857.631926407,222716.808026696,125944.433333333,202407.115154777,76959.6983570065,236188.671801347,31477.3467754468,299633.255555556,303055.219633838,158313.680952381,179620.892992424,83055.6284722222,156353.714772727,199104,48728.603030303,131949.697916667,116031.069002525,553362.511111111,90053.71875,141954.355555556,156705.740277778,367748.055555556,25842.7,266465.797979798,356036.303030303,108984.295454545,161889.624305556,336075.36969697,228974.704861111,127133.084722222,307166.810416667,465879.477083333,47820.9857954545,369957.855555556,54520,295527.664583333,533920.722222222,231869.443434343,144167.6,188002.066666667,100419.094949495,155127.21875,195946,277037.03125,385867.482828283,280983.46875,242011.966666667,252856.057142857,213352,17919.9375,80994.6111111112,255107.293055555,309818.925252525,83360.7979166667,38048.1777777778,1641.56666666667,216947.577777778,337633.666666667,242322.250694444,293060.393118687,1274.46666666667
