"","Soil_221","Soil_198","Soil_196","Soil_86","Soil_207","Soil_205","Soil_172","Soil_202","Soil_7","Soil_121","Soil_176","Soil_29","Soil_218","Soil_197","Soil_203","Soil_3","Soil_161","Soil_204","Soil_190","Soil_80","Soil_210","Soil_195","Soil_4","Soil_222","Soil_232","Soil_208","Soil_229","Soil_215","Soil_217","Soil_81","Soil_167","Soil_119","Soil_227","Soil_199","Soil_211","Soil_107","Soil_98","Soil_188","Soil_182","Soil_220","Soil_174","Soil_228","Soil_18","Soil_192","Soil_231","Soil_216","Soil_236","Soil_179","Soil_206","Soil_10","Soil_6","Soil_235","Soil_26","Soil_14","Soil_194","Soil_237","Soil_2","Soil_191","Soil_233","Soil_181","Soil_11","Soil_16","Soil_177","Soil_166","Soil_184","Soil_189","Soil_238","Soil_1","Soil_100","Soil_163","Soil_226","Soil_15","Soil_169","Soil_12","Soil_234","Soil_193","Soil_109","Soil_223","Soil_171","Soil_34","Soil_5","Soil_201","Soil_230","Soil_8","Soil_97","Soil_13","Soil_102","Soil_89","Soil_150","Soil_149","Soil_142","Soil_94","Soil_17","Soil_152","Soil_126","Soil_85","Soil_108","Soil_139","Soil_144","Soil_95","Soil_141","Soil_129","Soil_125","Soil_87","Soil_143","Soil_116","Soil_83","Soil_111","Soil_128","Soil_156","Soil_140","Soil_115","Soil_130","Soil_146","Soil_124","Soil_112","Soil_148","Soil_88","Soil_154","Soil_122","Soil_137","Soil_135","Soil_147","Soil_155","Soil_145","Soil_110","Soil_84","Soil_127","Soil_136","Soil_138","Soil_96","Soil_134","Soil_114","Soil_101","Soil_99","Soil_123"
"X1......",8437.33333333333,8171.86666666667,7754.13333333333,39328.0666666667,1762.13333333333,98572.8992907801,15650.1333333333,48002.1333333333,10113.6,72314,50521.324822695,39.7446808510638,18300.8,4877.03333333333,299956.737588652,79540.8,23705.7333333333,88346.8,1190.93333333333,29306.5333333333,11233.6,373.333333333333,27298.6666666667,3169.6,1351.46666666667,2263.02411347518,6761.06666666667,49926.0666666667,13705.0666666667,0,43859.2,5499.2,1183.46666666667,2516.87375886525,11524.8,2714.13333333333,1773.33333333333,18013.3333333333,57562.8666666667,5349.86666666667,107856,15203.5914893617,24729.1914893617,0,28089.6,3920,54321.8382978723,4093.03262411348,1332.8,102406.8,33749.5,10990.9333333333,650.144680851064,20563.2,910.933333333333,15097.6,48116.8879432624,1030.4,16233.4808510638,58030.9333333333,45579.3333333333,28053.809929078,20084,38387.8666666667,18073.0666666667,0,26908.0680851064,42623.8666666667,94934.2468085106,12461.8666666667,51658.1333333333,46345.6,1892.8,72893.7276595745,4845.86666666667,5865.93333333333,11431.4666666667,2408,29427.9546099291,26133.0340425532,22896.5333333333,23303.4666666667,13257.0666666667,4046.93333333333,17718.4,13522.1333333333,0,34250.5,0,1086.4,0,40521.6,33193.0666666667,1434.25,2478.93333333333,6895.46666666667,6813.33333333333,2945.6,0,56011.2,8035.25,65210.1333333333,6675.2,9841.06666666667,2318.4,52093.4833333333,0,0,13734.9333333333,0,18046.9333333333,1232,8784.53333333333,2419.2,5420.8,1717.33333333333,0,5040,0,13204.8,0,11.2,72696,0,4624.5,0,18325.5666666667,12663.4666666667,7268.8,1149.86666666667,1355.2,11521.0666666667,0,17128.5333333333,4857.06666666667,10195.7333333333
"X1.1....",2410.66666666667,2858.53333333333,2215.46666666667,12795.7333333333,503.466666666667,41469.3815602837,4471.46666666667,17191.4666666667,2889.6,29230,22658.4453900709,99.3617021276596,5228.8,23719.8666666667,118389.177304965,30742.4,6953.06666666667,25696.8,340.266666666667,10057.8666666667,3209.6,106.666666666667,17882.5333333333,905.6,386.133333333333,730.62695035461,1931.73333333333,16857.7333333333,3915.73333333333,0,12531.2,1571.2,338.133333333333,728.717730496454,3292.8,775.466666666667,506.666666666667,5146.66666666667,20054.5333333333,1528.53333333333,29040,4355.37872340425,7138.97872340426,0,8025.6,1120,106267.795744681,1188.84822695035,380.8,45226.8,10382,3140.26666666667,211.76170212766,5875.2,260.266666666667,4313.6,22131.0865248227,294.4,4648.50212765957,16580.2666666667,10898.6666666667,8027.05815602837,5536,9296.53333333333,5163.73333333333,0,19083.770212766,14484.5333333333,27180.4170212766,3560.53333333333,14759.4666666667,13241.6,540.8,19290.9191489362,1384.53333333333,7185.46666666667,3266.13333333333,688,8436.81985815603,4278.88510638298,6541.86666666667,6658.13333333333,3787.73333333333,1156.26666666667,5062.4,3863.46666666667,0,340562,0,310.4,0,11577.6,9483.73333333333,28685,708.266666666667,1970.13333333333,1946.66666666667,841.6,0,16003.2,160705,18631.4666666667,1907.2,2811.73333333333,662.4,532852.066666667,0,0,3924.26666666667,0,5156.26666666667,352,2509.86666666667,691.2,1548.8,490.666666666667,0,1440,0,3772.8,0,3.2,65008,0,92490,0,217765.733333333,3618.13333333333,2076.8,328.533333333333,387.2,3291.73333333333,0,4893.86666666667,1387.73333333333,2913.06666666667
"X1.1.1..",81360,77088,74772,390852,16992,753306.382978723,150912,451512,97524,669300,460396.595744681,953.872340425532,176472,90468,2785737.70212766,490401.6,229956,824880,11484,182472,108324,3600,293575.2,30564,13032,22366.9787234043,65196,327300,132156,0,422928,53028,11412,24332.170212766,111132,26172,17100,173700,340620,51588,861996,146680.595744681,238936.595744681,0,270864,37800,1233147.31914894,39594.3829787234,12852,935292,326880,105984,6437.87234042553,198288,8784,145584,420024.510638298,9936,156604.340425532,559584,226584,270594.638297872,173388,202608,174276,0,348551.234042553,273936,915802.723404255,120168,498132,446904,18252,546831.063829787,46728,82519.2,110232,23220,283956.510638298,140417.617021277,220788,224712,127836,39024,170856,130392,0,973848,0,10476,0,390744,320076,68844,23904,66492,65700,28404,0,540108,385692,628812,64368,94896,22356,1510116,0,0,132444,0,174024,11880,84708,23328,52272,16560,0,48600,0,127332,0,108,807600,0,221976,0,590220,122112,70092,11088,13068,111096,0,165168,46836,98316
"X1.1.1.1",12806.6666666667,17212.8333333333,11769.6666666667,62622.3333333333,2674.66666666667,162643.283687943,23754.6666666667,104784.666666667,15351,188447.5,152145.570921986,447.127659574468,27778,17008.6666666667,755369.964539007,163726,36425.6666666667,137758,1807.66666666667,58038.6666666667,17051,566.666666666667,70246.8333333333,4811,2051.33333333333,3804.35460992908,10262.3333333333,96647.3333333333,20802.3333333333,0,66572,8347,1796.33333333333,3862.49645390071,17493,4119.66666666667,2691.66666666667,27341.6666666667,116405.333333333,8120.33333333333,136145,23127.4042553191,37858.4042553191,0,42636,5950,430911.680851064,6297.95035460993,2023,302065.5,51545,16682.6666666667,1101.12765957447,31212,1382.66666666667,22916,91386.8226950355,1564,24685.6595744681,88082.6666666667,36216.6666666667,42633.0283687943,27345,32325.3333333333,27432.3333333333,0,84598.7659574468,83255.3333333333,144344.276595745,18915.3333333333,78409.6666666667,70346,2873,86554.9361702128,7355.33333333333,15198.6666666667,17351.3333333333,3655,44794.1560283688,31669.3829787234,34753.6666666667,35371.3333333333,20122.3333333333,6142.66666666667,26894,20524.6666666667,0,194305,0,1649,0,61506,50382.3333333333,14342.5,3762.66666666667,10466.3333333333,10341.6666666667,4471,0,85017,80352.5,98979.6666666667,10132,14937.3333333333,3519,301928.166666667,0,0,20847.6666666667,0,27392.6666666667,1870,13333.6666666667,3672,8228,2606.66666666667,0,7650,0,20043,0,17,249420,0,46245,0,119257.333333333,19221.3333333333,11033,1745.33333333333,2057,17487.3333333333,0,25998.6666666667,7372.33333333333,15475.6666666667
"X1.1.1.100",3013.33333333333,2915.16666666667,2769.33333333333,15484.6666666667,629.333333333333,77482.9716312057,5589.33333333333,17121.3333333333,3612,25771.5,18013.4929078014,188.787234042553,6536,2469.83333333333,106950.503546099,20182.4,8541.33333333333,30728,425.333333333333,7413.33333333333,4012,133.333333333333,11408.9666666667,1132,482.666666666667,974.964539007092,2414.66666666667,13130.6666666667,4894.66666666667,0,15664,1964,422.666666666667,917.950354609929,4116,969.333333333333,633.333333333333,6433.33333333333,14018.6666666667,1910.66666666667,46660,5452.65957446809,8977.65957446809,0,10032,1400,169197.531914894,1500.30496453901,476,36471.5,12077.5,3925.33333333333,283.787234042553,7344,325.333333333333,5392,38406.5177304965,368,5818.23404255319,20725.3333333333,26013.3333333333,10042.3971631206,8100,21370.6666666667,6454.66666666667,0,28419.7234042553,11042.6666666667,34016.8723404255,4450.66666666667,18449.3333333333,16552,676,33220.1063829787,1730.66666666667,3257.13333333333,4082.66666666667,860,10567.1843971631,8448.36170212766,8177.33333333333,8322.66666666667,4734.66666666667,1445.33333333333,6328,4829.33333333333,0,23018.5,0,388,0,14472,11854.6666666667,1434.25,885.333333333333,2462.66666666667,2433.33333333333,1052,0,20004,8035.25,23289.3333333333,2384,3514.66666666667,828,35495.0833333333,0,0,4905.33333333333,0,6445.33333333333,440,3137.33333333333,864,1936,613.333333333333,0,1800,0,4716,0,4,114928,0,4624.5,0,13475.1666666667,4522.66666666667,2596,410.666666666667,484,4114.66666666667,0,6117.33333333333,1734.66666666667,3641.33333333333
"X1.1.1.101",1054.66666666667,1150.73333333333,969.266666666667,5649.13333333333,220.266666666667,14681.2241134752,1956.26666666667,6858.26666666667,1264.2,11154,8347.75602836879,49.6808510638298,2287.6,2733.06666666667,45565.9219858156,13907.6,3034.46666666667,11391.6,148.866666666667,4953.06666666667,1404.2,46.6666666666667,4485.33333333333,396.2,168.933333333333,325.580141843972,845.133333333333,8226.13333333333,1713.13333333333,0,5482.4,687.4,147.933333333333,319.49219858156,1440.6,339.266666666667,221.666666666667,2251.66666666667,9957.73333333333,668.733333333333,12187,1906.28936170213,3128.48936170213,0,3511.2,490,32739.6978723404,521.490780141844,166.6,16741.6,4289,1373.86666666667,94.4808510638298,2570.4,113.866666666667,1887.2,7886.00992907801,128.8,2034.45106382979,7253.86666666667,4148.66666666667,3512.66241134752,2363,3579.73333333333,2259.13333333333,0,6621.28510638298,7093.73333333333,11895.4085106383,1557.73333333333,6457.26666666667,5793.2,236.6,7986.85957446809,605.733333333333,1109.86666666667,1428.93333333333,301,3693.14326241135,1105.64255319149,2862.06666666667,2912.93333333333,1657.13333333333,505.866666666667,2214.8,1690.26666666667,0,35741,0,135.8,0,5065.2,4149.13333333333,2868.5,309.866666666667,861.933333333333,851.666666666667,368.2,0,7001.4,16070.5,8151.26666666667,834.4,1230.13333333333,289.8,55774.9666666667,0,0,1716.86666666667,0,2255.86666666667,154,1098.06666666667,302.4,677.6,214.666666666667,0,630,0,1650.6,0,1.4,20412,0,9249,0,22504.1333333333,1582.93333333333,908.6,143.733333333333,169.4,1440.13333333333,0,2141.06666666667,607.133333333333,1274.46666666667
"X1.1.1.102",0,0,0,153,0,9320.76595744681,0,0,0,0,5.19148936170213,39.7446808510638,0,1132.5,7.40425531914894,340.8,20,0,0,0,0,0,867.6,0,0,37.9574468085106,0,0,0,0,0,0,0,4.34042553191489,0,0,0,0,0,0,0,5.19148936170213,33.1914893617021,0,0,0,51060.6382978723,8.76595744680851,0,0,37.5,0,11.7446808510638,0,0,0,5384.02127659574,0,4.68085106382979,0,0,5.27659574468085,0,0,0,0,6412.46808510638,0,25.4468085106383,0,0,0,0,10.1276595744681,0,602.6,0,0,13.0212765957447,1040.23404255319,0,0,0,0,0,0,0,16778.5,0,0,0,0,0,1434.25,0,0,0,0,0,0,8035.25,0,0,0,0,26273.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26440,0,4624.5,0,10780.5,0,0,0,0,0,0,0,0,0
"X1.1.1.105",0,0,0,153,0,9350.95744680851,0,0,0,0,6.48936170212766,49.6808510638298,0,1132.5,9.25531914893617,340.8,10,0,0,0,0,0,867.6,0,0,47.4468085106383,0,0,0,0,0,0,0,5.42553191489362,0,0,0,0,0,0,0,6.48936170212766,41.4893617021277,0,0,0,51228.2978723404,10.9574468085106,0,0,37.5,0,14.6808510638298,0,0,0,5401.27659574468,0,5.85106382978723,0,0,6.59574468085106,0,0,0,0,6433.08510638298,0,31.8085106382979,0,0,0,0,12.6595744680851,0,602.6,0,0,16.2765957446809,19.0425531914894,0,0,0,0,0,0,0,16778.5,0,0,0,0,0,1434.25,0,0,0,0,0,0,8035.25,0,0,0,0,26273.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26440,0,4624.5,0,10780.5,0,0,0,0,0,0,0,0,0
"X1.1.1.116",0,0,0,51,0,1870.1914893617,0,0,0,0,1.29787234042553,9.93617021276596,0,1132.5,1.85106382978723,340.8,10,0,0,0,0,0,867.6,0,0,9.48936170212766,0,0,0,0,0,0,0,1.08510638297872,0,0,0,0,0,0,0,1.29787234042553,8.29787234042553,0,0,0,10245.6595744681,2.19148936170213,0,0,37.5,0,2.93617021276596,0,0,0,1080.25531914894,0,1.17021276595745,0,0,1.31914893617021,0,0,0,0,1286.6170212766,0,6.36170212765957,0,0,0,0,2.53191489361702,0,602.6,0,0,3.25531914893617,3.80851063829787,0,0,0,0,0,0,0,16778.5,0,0,0,0,0,1434.25,0,0,0,0,0,0,8035.25,0,0,0,0,26273.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5288,0,4624.5,0,10780.5,0,0,0,0,0,0,0,0,0
"X1.1.1.125",1054.66666666667,1103.73333333333,969.266666666667,5139.13333333333,220.266666666667,16399.8411347518,1956.26666666667,6546.26666666667,1264.2,10385,7608.16028368794,29.8085106382979,2287.6,2733.06666666667,42630.219858156,9619.6,2964.46666666667,10993.6,148.866666666667,3479.06666666667,1404.2,46.6666666666667,4292.33333333333,396.2,168.933333333333,306.601418439716,845.133333333333,5957.13333333333,1713.13333333333,0,5482.4,687.4,147.933333333333,317.321985815603,1440.6,339.266666666667,221.666666666667,2251.66666666667,6800.73333333333,668.733333333333,11151,1903.69361702128,3111.89361702128,0,3511.2,490,52560.3787234043,517.10780141844,166.6,15308.6,4289,1373.86666666667,88.6085106382979,2570.4,113.866666666667,1887.2,9286.49929078014,128.8,2032.11063829787,7253.86666666667,2909.66666666667,3510.02411347518,2245,2604.73333333333,2259.13333333333,0,9112.05106382979,5075.73333333333,11882.685106383,1557.73333333333,6457.26666666667,5793.2,236.6,7072.79574468085,605.733333333333,1109.86666666667,1428.93333333333,301,3686.63262411348,2123.02553191489,2862.06666666667,2912.93333333333,1657.13333333333,505.866666666667,2214.8,1690.26666666667,0,35741,0,135.8,0,5065.2,4149.13333333333,2868.5,309.866666666667,861.933333333333,851.666666666667,368.2,0,7001.4,16070.5,8151.26666666667,834.4,1230.13333333333,289.8,55774.9666666667,0,0,1716.86666666667,0,2255.86666666667,154,1098.06666666667,302.4,677.6,214.666666666667,0,630,0,1650.6,0,1.4,29472,0,9249,0,22504.1333333333,1582.93333333333,908.6,143.733333333333,169.4,1440.13333333333,0,2141.06666666667,607.133333333333,1274.46666666667
