,tips
1,Leotiomycetes_sp.
2,Pseudogymnoascus_sp.
3,Pseudogymnoascus_verrucosus
4,Pseudogymnoascus_sp.
5,Pseudogymnoascus_destructans
6,Pseudogymnoascus_sp.
7,Pseudogymnoascus_sp.
8,Pseudogymnoascus_sp.
9,Pseudogymnoascus_sp.
10,Cadophora_sp.
11,Leptodontidium_sp.
12,Rhexocercosporidium_sp.
13,Cadophora_sp.
14,Leotiomycetes_sp.
15,Cadophora_malorum
16,Rhynchosporium_commune
17,Rhynchosporium_secalis
18,Rhynchosporium_agropyri
19,Marssonina_brunnea
20,Phialocephala_subalpina
21,Acema1
22,Phialocephala_scopiformis
23,Chalara_longipes
24,Meliniomyces_variabilis
25,Meliniomyces_bicolor
26,Rhizoscyphus_ericae
27,Parauncinula_polyspora
28,Erysiphe_necator
29,Erysiphe_pulchra
30,Oidium_neolycopersici
31,Golovinomyces_cichoracearum
32,Golovinomyces_cichoracearum
33,Blumeria_graminis
34,Blumeria_graminis
35,Blumeria_graminis
36,Ascocoryne_sarcoides
37,Glarea_lozoyensis
38,Amylocarpus_encephaloides
39,Zalerion_varium
40,Oidiodendron_maius
41,Amorphotheca_resinae
42,Calycina_marina
43,Botrytis_cinerea
44,Botrytis_cinerea
45,Sclerotinia_sclerotiorum
46,Sclerotinia_borealis
47,Trichoderma_guizhouense
48,Trichoderma_harzianum
49,Trichoderma_harzianum
50,Trichoderma_atrobrunneum
51,Trichoderma_pleuroti
52,Trichoderma_virens
53,Trichoderma_citrinoviride
54,Trichoderma_reesei
55,Trichoderma_reesei
56,Trichoderma_reesei
57,Trichoderma_reesei
58,Trichoderma_parareesei
59,Trichoderma_longibrachiatum
60,Trichoderma_arundinaceum
61,Trichoderma_brevicompactum
62,Trichoderma_asperelloides
63,Trichoderma_asperelloides
64,Trichoderma_asperellum
65,Trichoderma_hamatum
66,Trichoderma_gamsii
67,Trichoderma_atroviride
68,Hypomyces_perniciosus
69,Escovopsis_weberi
70,Hypomyces_rosellus
71,Cordyceps_militaris
72,Isaria_fumosorosea
73,Beauveria_brongniartii
74,Beauveria_bassiana
75,Lecanicillium_lecanii
76,Torrubiella_hemipterigena
77,Tolypocladium_paradoxum
78,Tolypocladium_inflatum
79,Tolypocladium_ophioglossoides
80,Tolypocladium_capitatum
81,Drechmeria_coniospora
82,Purpureocillium_lilacinum
83,Ophiocordyceps_camponoti-rufipedis
84,Ophiocordyceps_kimflemingae
85,Cordyceps_sp.
86,Hirsutella_minnesotensis
87,Ophiocordyceps_sinensis
88,Ophiocordyceps_australis
89,Metarhizium_brunneum
90,Metarhizium_robertsii
91,Metarhizium_anisopliae
92,Metarhizium_majus
93,Metarhizium_guizhouense
94,Metarhizium_acridum
95,Metarhizium_album
96,Metarhizium_rileyi
97,Pochonia_chlamydosporia
98,Moelleriella_libera
99,Ustilaginoidea_virens
100,Claviceps_purpurea
101,Stachybotrys_chartarum
102,Stachybotrys_chlorohalonata
103,Stachybotrys_elegans
104,Acremonium_chrysogenum
105,Emericellopsis_sp.
106,Clonostachys_rosea
107,Ilyonectria_sp.
108,Ilyonectria_sp.
109,Ilyonectria_europaea
110,Dactylonectria_estremocensis
111,Dactylonectria_macrodidyma
112,Neonectria_ditissima
113,Cylindrocarpon_olidum
114,Fusarium_culmorum
115,Fusarium_graminearum
116,Fusarium_pseudograminearum
117,Fusarium_venenatum
118,Fusarium_poae
119,Fusarium_langsethiae
120,Fusarium_sp.
121,Fusarium_tricinctum
122,Fusarium_avenaceum
123,FoxFo5176
124,Fusarium_oxysporum
125,FoxII5
126,Fusarium_oxysporum
127,Fusarium_oxysporum
128,Fusarium_oxysporum
129,Fusarium_oxysporum
130,Fusarium_oxysporum
131,Fusarium_oxysporum
132,Fusarium_oxysporum
133,Fusarium_oxysporum
134,Fusarium_oxysporum
135,Fusarium_oxysporum
136,Fusarium_oxysporum
137,Fusarium_oxysporum_2
138,Fusarium_oxysporum
139,Fusarium_oxysporum
140,Fusarium_commune
141,Fusarium_redolens
142,Fusarium_fujikuroi
143,Fusarium_proliferatum
144,Fusarium_proliferatum
145,Fusarium_mangiferae
146,Fusarium_verticillioides
147,Fusarium_vanettenii
148,Fusarium_solani
149,Lomentospora_prolificans
150,Scedosporium_apiospermum
151,Thielaviopsis_punctulata
152,Colletotrichum_nymphaeae
153,Colletotrichum_simmondsii
154,Colletotrichum_fioriniae
155,Colletotrichum_salicis
156,Colletotrichum_orchidophilum
157,Colletotrichum_incanum
158,Colletotrichum_tofieldiae
159,Colletotrichum_higginsianum
160,Colletotrichum_graminicola
161,Colletotrichum_sublineola
162,Colletotrichum_chlorophyti
163,Colletotrichum_orbiculare
164,Colletotrichum_gloeosporioides
165,Verticillium_dahliae
166,Verticillium_dahliae
167,Verticillium_longisporum
168,Verticillium_alfalfae
169,Plectosphaerella_cucumerina
170,Sodiomyces_alkalinus
171,Diaporthe_ampelina
172,Diaporthe_helianthi
173,Valsa_mali
174,Cryphonectria_parasitica
175,Phaeoacremonium_aleophilum
176,Gaeumannomyces_graminis
177,Magnaporthiopsis_poae
178,Pyricularia_oryzae
179,Ophiostoma_novo-ulmi
180,Ophiostoma_piceae
181,Ophiostoma_piceae
182,Sporothrix_brasiliensis
183,Sporothrix_schenckii
184,Sporothrix_insectorum
185,Grosmannia_clavigera
186,Coniochaeta_ligniaria
187,Coniochaeta_ligniaria
188,Coniochaeta_sp.
189,Phialemonium_atrogriseum
190,Canariomyces_arenarius
191,Madurella_mycetomatis
192,Achaetomium_strumarium
193,Achaetomium_macrosporum
194,Thielavia_terrestris
195,Myceliophthora_thermophila
196,Corynascus_novoguineensis
197,Chaetomium_globosum
198,Chaetomium_tenue
199,Chaetomidium_fimeti
200,Chaetomium_sp.
201,Corynascella_inaequalis
202,Chaetomium_funicola
203,Chaetomium_funicola
204,Staphylotrichum_longicolle
205,Chaetomidium_leptoderma
206,Parathielavia_hyrcaniae
207,Parathielavia_appendiculata
208,Chaetomium_thermophilum
209,Trichocladium_griseum
210,Trichocladium_antarcticum
211,Cercophora_samala
212,Podospora_anserina
213,Podospora_setosa
214,Apiosordaria_verruculosa
215,Apiosordaria_backusii
216,Podospora_australis
217,Podospora_fimiseda
