"Species","Genus"
"Oidium_neolycopersici","Oidium"
"Isaria_fumosorosea","Isaria"
"Lomentospora_prolificans","Lomentospora"
"Pseudoneurospora_amorphoporcata","Pseudoneurospora"
"Bombardia_bombarda","Bombardia"
"Pseudomassariella_vexata","Pseudomassariella"
"Eurotium_rubrum","Eurotium"
"Emmonsia_parva","Emmonsia"
"Emmonsia_crescens","Emmonsia"
"Clavariopsis_aquatica","Clavariopsis"
"Karstenula_rhodostoma","Karstenula"
"Setosphaeria_turcica","Setosphaeria"
"Boeremia_exigua","Boeremia"
"Macroventuria_anomochaeta","Macroventuria"
"Aulographum_hederae","Aulographum"
"Delphinella_strobiligena","Delphinella"
"Viridothelium_virens","Viridothelium"
"Fibulorhizoctonia_psychrophila","Fibulorhizoctonia"
"Chiua_virens","Chiua"
"Auriculariopsis_ampla","Auriculariopsis"
"Porosterum_spadiceum","Porosterum"
"Hydnopolyporus_fimbriatus","Hydnopolyporus"
"Leiotrametes_lactinea","Leiotrametes"
"Leiotrametes_menziesii","Leiotrametes"
"Artolenzites_elegans","Artolenzites"
"Piriformospora_indica","Piriformospora"
"Leucosporidiella_creatinivora","Leucosporidiella"
"Rhodosporidium_glutinis","Rhodosporidium"
"Rhodosporidium_toruloides","Rhodosporidium"
"Haplosporangium_bisporale","Haplosporangium"
"Geosiphon_pyriformis","Geosiphon"
"Amylomyces_rouxii","Amylomyces"
"Hesseltinella_vesiculosa","Hesseltinella"
"Kickxella_alabastrina","Kickxella"
"Pinnaticoemansia_coranantispora","Pinnaticoemansia"
"Smittium_culicis","Smittium"
"Smittium_mucronatum","Smittium"
"Homolaphlyctis_polyrhiza","Homolaphlyctis"
"Obelidium_mucronatum","Obelidium"
"Caulochytrium_protostelioides","Caulochytrium"
"Encephalitozoon_romaleae","Encephalitozoon"
"Encephalitozoon_hellem","Encephalitozoon"
"Encephalitozoon_intestinalis","Encephalitozoon"
"Encephalitozoon_cuniculi","Encephalitozoon"
"Ordospora_colligata","Ordospora"
"Nosema_apis","Nosema"
"Nosema_ceranae","Nosema"
"Nosema_bombycis","Nosema"
"Enterocytozoon_bieneusi","Enterocytozoon"
"Enterospora_canceri","Enterospora"
"Enterocytozoon_hepatopenaei","Enterocytozoon"
"Hepatospora_eriocheir","Hepatospora"
"Vittaforma_corneae","Vittaforma"
"Antonospora_locustae","Antonospora"
"Trachipleistophora_hominis","Trachipleistophora"
"Vavraia_culicis","Vavraia"
"Pseudoloma_neurophilia","Pseudoloma"
"Spraguea_lophii","Spraguea"
"Edhazardia_aedis","Edhazardia"
"Nematocida_parisii","Nematocida"
"Nematocida_displodere","Nematocida"
"Mitosporidium_daphniae","Mitosporidium"
