Species,Genus
Acaulopage_tetraceros,Acaulopage
Amylomyces_rouxii,Amylomyces
Antonospora_locustae,Antonospora
Artolenzites_elegans,Artolenzites
Ashbya_aceri,Ashbya
Atkinsonella_hypoxylon,Atkinsonella
Atkinsonella_texensis,Atkinsonella
Aulographum_hederae,Aulographum
Auriculariopsis_ampla,Auriculariopsis
Austropuccinia_psidii,Austropuccinia
Boeremia_exigua,Boeremia
Bombardia_bombarda,Bombardia
Bretziella_fagacearum,Bretziella
Capniomyces_stellatus,Capniomyces
Caulochytrium_protostelioides,Caulochytrium
Cetradonia_linearis,Cetradonia
Chalaropsis_thielavioides,Chalaropsis
Chiua_virens,Chiua
Clavariopsis_aquatica,Clavariopsis
Cochlonema_odontosperma,Cochlonema
Corinectria_fuckeliana,Corinectria
Delphinella_strobiligena,Delphinella
Didymobotryum_rigidum,Didymobotryum
Edhazardia_aedis,Edhazardia
Emmonsia_crescens,Emmonsia
Emmonsia_parva,Emmonsia
Encephalitozoon_cuniculi,Encephalitozoon
Encephalitozoon_hellem,Encephalitozoon
Encephalitozoon_intestinalis,Encephalitozoon
Encephalitozoon_romaleae,Encephalitozoon
Enterocytozoon_bieneusi,Enterocytozoon
Enterocytozoon_hepatopenaei,Enterocytozoon
Enterospora_canceri,Enterospora
Entomophthora_muscae,Entomophthora
Esteya_vermicola,Esteya
Eurotium_rubrum,Eurotium
Fibulorhizoctonia_psychrophila,Fibulorhizoctonia
Fragosphaeria_purpurea,Fragosphaeria
Furculomyces_boomerangus,Furculomyces
Gamarada_debralockiae,Gamarada
Gelatoporia_subvermispora,Gelatoporia
Geosiphon_pyriformis,Geosiphon
Hamiltosporidium_magnivora,Hamiltosporidium
Hamiltosporidium_tvaerminnensis,Hamiltosporidium
Haplosporangium_bisporale,Haplosporangium
Hepatospora_eriocheir,Hepatospora
Hesseltinella_vesiculosa,Hesseltinella
Holtermanniella_nyarrowii,Holtermanniella
Homolaphlyctis_polyrhiza,Homolaphlyctis
Hydnopolyporus_fimbriatus,Hydnopolyporus
Isaria_fumosorosea,Isaria
Karstenula_rhodostoma,Karstenula
Kickxella_alabastrina,Kickxella
Kloeckera_hatyaiensis,Kloeckera
Leiotrametes_lactinea,Leiotrametes
Leiotrametes_menziesii,Leiotrametes
Leucosporidiella_creatinivora,Leucosporidiella
Lomentospora_prolificans,Lomentospora
Macroventuria_anomochaeta,Macroventuria
Metchnikovella_incurvata,Metchnikovella
Mitosporidium_daphniae,Mitosporidium
Nematocida_displodere,Nematocida
Nematocida_parisii,Nematocida
Nosema_apis,Nosema
Nosema_bombycis,Nosema
Nosema_ceranae,Nosema
Nothophaeocryptopus_gaeumannii,Nothophaeocryptopus
Obelidium_mucronatum,Obelidium
Oidium_neolycopersici,Oidium
Ordospora_colligata,Ordospora
Pinnaticoemansia_coranantispora,Pinnaticoemansia
Piriformospora_indica,Piriformospora
Porosterum_spadiceum,Porosterum
Pseudoloma_neurophilia,Pseudoloma
Pseudomassariella_vexata,Pseudomassariella
Pseudoneurospora_amorphoporcata,Pseudoneurospora
Rhodosporidium_glutinis,Rhodosporidium
Rhodosporidium_toruloides,Rhodosporidium
Salmacisia_buchloeana,Salmacisia
Setosphaeria_turcica,Setosphaeria
Smittium_angustum,Smittium
Smittium_culicis,Smittium
Smittium_megazygosporum,Smittium
Smittium_mucronatum,Smittium
Smittium_simulii,Smittium
Spraguea_lophii,Spraguea
Takashimella_koratensis,Takashimella
Takashimella_tepidaria,Takashimella
Testicularia_cyperi,Testicularia
Thamnocephalis_sphaerospora,Thamnocephalis
Trachipleistophora_hominis,Trachipleistophora
Tubulinosema_ratisbonensis,Tubulinosema
Vavraia_culicis,Vavraia
Viridothelium_virens,Viridothelium
Vittaforma_corneae,Vittaforma
Zoophagus_insidians,Zoophagus
