Acaulopage_tetraceros,Acaulopage
Antonospora_locustae,Antonospora
Ashbya_aceri,Ashbya
Atkinsonella_texensis,Atkinsonella
Atkinsonella_hypoxylon,Atkinsonella
Auriculariopsis_ampla,Auriculariopsis
Austropuccinia_psidii,Austropuccinia
Bretziella_fagacearum,Bretziella
Capniomyces_stellatus,Capniomyces
Caulochytrium_protostelioides,Caulochytrium
Cetradonia_linearis,Cetradonia
Chalaropsis_thielavioides,Chalaropsis
Chiua_virens,Chiua
Cochlonema_odontosperma,Cochlonema
Corinectria_fuckeliana,Corinectria
Didymobotryum_rigidum,Didymobotryum
Edhazardia_aedis,Edhazardia
Emmonsia_crescens,Emmonsia
Encephalitozoon_hellem,Encephalitozoon
Encephalitozoon_romaleae,Encephalitozoon
Encephalitozoon_intestinalis,Encephalitozoon
Encephalitozoon_cuniculi,Encephalitozoon
Enterospora_canceri,Enterospora
Entomophthora_muscae,Entomophthora
Esteya_vermicola,Esteya
Fragosphaeria_purpurea,Fragosphaeria
Furculomyces_boomerangus,Furculomyces
Gamarada_debralockiae,Gamarada
Gelatoporia_subvermispora,Gelatoporia
Species,Genus
Hamiltosporidium_magnivora,Hamiltosporidium
Hamiltosporidium_tvaerminnensis,Hamiltosporidium
Hesseltinella_vesiculosa,Hesseltinella
Holtermanniella_nyarrowii,Holtermanniella
Homolaphlyctis_polyrhiza,Homolaphlyctis
Kloeckera_hatyaiensis,Kloeckera
Lomentospora_prolificans,Lomentospora
Metchnikovella_incurvata,Metchnikovella
Nematocida_parisii,Nematocida
Nematocida_displodere,Nematocida
Nosema_ceranae,Nosema
Nosema_apis,Nosema
Nothophaeocryptopus_gaeumannii,Nothophaeocryptopus
Ordospora_colligata,Ordospora
Pseudomassariella_vexata,Pseudomassariella
Salmacisia_buchloeana,Salmacisia
Smittium_mucronatum,Smittium
Smittium_culicis,Smittium
Smittium_angustum,Smittium
Smittium_simulii,Smittium
Smittium_megazygosporum,Smittium
Spraguea_lophii,Spraguea
Takashimella_tepidaria,Takashimella
Takashimella_koratensis,Takashimella
Testicularia_cyperi,Testicularia
Thamnocephalis_sphaerospora,Thamnocephalis
Trachipleistophora_hominis,Trachipleistophora
Tubulinosema_ratisbonensis,Tubulinosema
Vavraia_culicis,Vavraia
Vittaforma_corneae,Vittaforma
Zoophagus_insidians,Zoophagus
