old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Nematocida_parisii,Nematocida parisii,Nematocida,Nematocida_fm,Nematocida_or,Nematocida_cl,Microsporidia
Nematocida_displodere,Nematocida displodere,Nematocida,Nematocida_fm,Nematocida_or,Nematocida_cl,Microsporidia
Paramicrosporidium_saccamoebae,Paramicrosporidium saccamoebae,Paramicrosporidium,Paramicrosporidium_fm,Paramicrosporidium_or,Paramicrosporidium_cl,Cryptomycota
Rozella_allomycis,Rozella allomycis,Rozella,Rozella_fm,Rozella_or,Rozella_cl,Cryptomycota
Antonospora_locustae,Antonospora locustae,Antonospora,Antonospora_fm,Antonospora_or,Antonospora_cl,Microsporidia
Blyttiomyces_helicus,Blyttiomyces helicus,Blyttiomyces,Chytridiaceae,Chytridiales,Chytridiomycetes,Chytridiomycota
Batrachochytrium_dendrobatidis,Batrachochytrium dendrobatidis,Batrachochytrium,Batrachochytrium_fm,Rhizophydiales,Chytridiomycetes,Chytridiomycota
Homolaphlyctis_polyrhiza,Homolaphlyctis polyrhiza,Homolaphlyctis,Homolaphlyctis_fm,Rhizophydiales,Chytridiomycetes,Chytridiomycota
Fibroporia_radiculosa,Fibroporia radiculosa,Fibroporia,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Taiwanofungus_camphoratus,Taiwanofungus camphoratus,Taiwanofungus,Taiwanofungus_fm,Polyporales,Agaricomycetes,Basidiomycota
Holtermannia_corniformis,Holtermannia corniformis,Holtermannia,Holtermanniaceae,Holtermanniales,Tremellomycetes,Basidiomycota
Holtermanniella_nyarrowii,Holtermanniella nyarrowii,Holtermanniella,Holtermanniaceae,Holtermanniales,Tremellomycetes,Basidiomycota
Pascua_guehoae,Pascua guehoae,Pascua,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota
Batrachochytrium_salamandrivorans,Batrachochytrium salamandrivorans,Batrachochytrium,Batrachochytrium_fm,Rhizophydiales,Chytridiomycetes,Chytridiomycota
Bifiguratus_adelaidae,Bifiguratus adelaidae,Bifiguratus,Bifiguratus_fm,Endogonales,Endogonomycetes,Mucoromycota
Prillingera_fragicola,Prillingera fragicola,Prillingera,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota
Tilletiopsis_washingtonensis,Tilletiopsis washingtonensis,Tilletiopsis,Tilletiopsis_fm,Entylomatales,Exobasidiomycetes,Basidiomycota
Pseudomicrostroma_glucosiphilum,Pseudomicrostroma glucosiphilum,Pseudomicrostroma,Pseudomicrostroma_fm,Microstromatales,Exobasidiomycetes,Basidiomycota
Jaminaea_rosea,Jaminaea rosea,Jaminaea,Jaminaea_fm,Microstromatales,Exobasidiomycetes,Basidiomycota
Hemileia_vastatrix,Hemileia vastatrix,Hemileia,Hemileia_fm,Pucciniales,Pucciniomycetes,Basidiomycota
Rickenella_mellea,Rickenella mellea,Rickenella,Rickenellaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Heliocybe_sulcata,Heliocybe sulcata,Heliocybe,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Basidiomycota
Dendrothele_bispora,Dendrothele bispora,Dendrothele,Dendrothele_fm,Agaricales,Agaricomycetes,Basidiomycota
Encephalitozoon_cuniculi,Encephalitozoon cuniculi,Encephalitozoon,Unikaryonidae,Unikaryonidae_or,Unikaryonidae_cl,Microsporidia
Encephalitozoon_intestinalis,Encephalitozoon intestinalis,Encephalitozoon,Unikaryonidae,Unikaryonidae_or,Unikaryonidae_cl,Microsporidia
Vavraia_culicis,Vavraia culicis,Vavraia,Pleistophoridae,Pleistophoridae_or,Pleistophoridae_cl,Microsporidia
Edhazardia_aedis,Edhazardia aedis,Edhazardia,Culicosporidae,Culicosporidae_or,Cullicosporidae_cl,Microsporidia
Vittaforma_corneae,Vittaforma corneae,Vittaforma,Nosematidae,Nosematidae_or,Nosematidae_cl,Microsporidia
Encephalitozoon_hellem,Encephalitozoon hellem,Encephalitozoon,Unikaryonidae,Unikaryonidae_or,Unikaryonidae_cl,Microsporidia
