"","ASV_ID","portal_id","perc_id","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","eval","bit_score"
"1",1,"Purli1",100,170,0,0,1,170,374,543,9.84e-88,315
"5",2,"Melbi2",91.558,154,12,1,1,153,322,475,1.18e-56,211
"7",9,"Hyafin1",91.304,115,8,2,1,114,417,530,5.61e-40,156
"11",12,"Trias1",100,179,0,0,1,179,337,515,1.05e-92,331
"12",12,"Triasper1",100,179,0,0,1,179,337,515,1.05e-92,331
"68",16,"Acema1",92.81,153,11,0,1,153,431,583,5.45e-60,222
"69",27,"Melbi2",92.949,156,9,2,1,156,322,475,4.31e-61,226
"71",39,"Amore1",80.986,142,19,8,1,140,422,557,5.85e-25,106
"74",42,"Hyafin1",91.509,106,6,3,1,105,417,520,4.43e-36,143
"75",48,"Melbi2",90.728,151,7,6,1,148,322,468,1.21e-51,195
"77",50,"Claim1",85.641,195,15,11,1,189,363,550,5.41e-51,193
"78",56,"Tolinf1",98.519,135,1,1,36,170,347,480,2.19e-64,237
"82",62,"Melbi2",91.72,157,7,6,1,154,322,475,3.3e-57,213
"84",72,"Diahe1",78.261,115,13,12,1,105,367,479,3.39e-12,63.9
"85",73,"Psever1",94.34,159,6,3,1,156,339,497,1.54e-65,241
"88",74,"Ganleu1",95.146,206,5,5,1,203,357,560,2.57e-89,320
"89",79,"Amore1",85.526,152,18,4,1,150,422,571,5.48e-40,156
"90",85,"Melbi2",95.455,154,6,1,1,153,322,475,1.16e-66,244
"92",89,"Claim1",83.163,196,19,10,1,190,363,550,3.3e-43,167
"93",94,"Trigam1",99.454,183,1,0,1,183,340,522,2.95e-93,333
"151",97,"Melbi2",90.446,157,12,3,1,157,322,475,2.03e-54,204
"153",101,"Hyafin1",92.982,114,7,1,1,113,417,530,8.97e-43,165
"154",105,"Melbi2",86.869,99,9,4,1,97,322,418,1.63e-25,108
"156",108,"Venin1",82.353,136,22,2,4,137,342,477,2.69e-28,117
"157",114,"Trimi1",96.571,175,4,2,1,173,375,549,6.08e-80,289
"214",118,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"217",121,"Venin1",97.842,139,2,1,1,138,340,478,5.49e-65,239
"218",147,"Tripra1",80.233,172,28,6,1,169,385,553,1.77e-30,124
"219",152,"Amore1",90.511,137,11,2,1,136,422,557,3.25e-47,180
"221",155,"Hyafin1",84.507,142,18,4,1,141,417,555,2.08e-34,137
"223",160,"Metbr1",100,185,0,0,1,185,298,482,4.96e-96,342
"224",160,"Metgui1",100,185,0,0,1,185,298,482,4.96e-96,342
"226",169,"Ocuya1",83.125,160,18,9,1,154,426,582,2.05e-34,137
"227",171,"Asprobu1",90.299,134,11,2,1,133,331,463,1.69e-45,174
"419",172,"Claim1",87.037,162,15,6,1,157,363,523,1.44e-46,178
"426",179,"Melbi2",91.724,145,9,3,1,142,322,466,8.91e-53,198
"429",182,"Dacma1",92.169,166,10,3,1,165,291,454,1.03e-62,231
"434",189,"Melbi2",91.558,154,11,2,1,152,322,475,1.17e-56,211
"437",203,"Hyafin1",83.803,142,19,4,1,141,417,555,9.66e-33,132
"439",209,"Triveli1",98.333,180,2,1,1,179,367,546,1.04e-87,315
"440",209,"Trivel1",98.333,180,2,1,1,179,367,546,1.04e-87,315
"497",210,"Metal1",80.513,195,25,8,1,182,430,624,2.57e-34,137
"498",223,"Melbi2",92.949,156,8,3,1,155,322,475,1.54e-60,224
"500",229,"Psever1",84.472,161,18,6,1,156,339,497,7.41e-39,152
"501",230,"Pengl1",97.619,168,2,1,1,166,337,504,2.09e-79,287
"736",232,"Diahe1",77.391,115,14,12,1,105,367,479,1.6e-10,58.4
"737",233,"Claim1",85.128,195,15,12,1,188,363,550,2.5e-49,187
"738",238,"Dipse1",79.798,99,15,5,1,94,358,456,2.78e-13,67.6
"739",246,"Metma1",80.978,184,22,10,9,189,331,504,3.43e-33,134
"742",248,"Melbi2",92.857,154,9,2,1,152,322,475,5.41e-60,222
"745",256,"Claim1",86.42,162,16,6,1,157,363,523,6.76e-45,172
"752",278,"Clasph1",84.685,111,10,7,1,108,321,427,2.04e-24,104
"753",283,"Theglo1",82.353,153,26,1,1,152,323,475,2.74e-33,134
"754",289,"Venin1",87.5,136,15,2,4,137,342,477,5.65e-40,156
"755",295,"Hyafin1",98.039,153,2,1,1,153,417,568,8.93e-73,265
"757",301,"Artesp1",88.333,120,13,1,1,119,339,458,4.66e-36,143
"758",303,"Amore1",84.967,153,17,6,1,150,422,571,2.55e-38,150
"759",305,"Claim1",87.117,163,14,7,1,158,363,523,1.49e-46,178
"766",310,"Hyafin1",86.538,156,15,6,1,154,417,568,2.61e-43,167
"768",317,"Melbi2",89.61,154,16,0,1,154,322,475,3.33e-52,196
"769",317,"Hyafin1",89.61,154,14,2,1,154,417,568,1.2e-51,195
"770",321,"Theglo1",86.076,158,20,2,1,156,323,480,7.36e-44,169
"771",322,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"773",327,"Botdo1_1",79.381,97,16,4,1,95,346,440,9.94e-13,65.8
"774",331,"Melbi2",99.351,154,0,1,1,153,322,475,1.15e-76,278
"776",335,"Hyafin1",91.597,119,8,2,1,117,417,535,3.23e-42,163
"778",342,"Apibac1",90.909,99,7,2,1,98,314,411,1.01e-32,132
"780",347,"Mereb1",85.714,196,18,7,1,187,389,583,1.33e-52,198
"781",348,"Pilidi1",88.623,167,13,4,1,161,368,534,1.01e-52,198
"784",349,"Aspoer1",96.753,154,1,4,1,151,424,576,2.25e-69,254
"1020",354,"Claim1",88.272,162,13,6,1,157,363,523,6.72e-50,189
"1029",357,"Humhy1",89,100,10,1,1,99,471,570,6.07e-30,122
"1030",361,"Diahe1",80,100,12,8,1,93,367,465,2.62e-13,67.6
"1031",366,"Fusavent1",86.624,157,11,6,1,151,337,489,1.08e-42,165
"1033",368,"Cucbe1",81.977,172,16,11,1,163,311,476,1.01e-32,132
"1035",371,"Hyafin1",85.816,141,17,3,1,140,417,555,3.4e-37,147
"1037",372,"Melbi2",80.255,157,26,5,1,155,322,475,3.47e-27,113
"1039",377,"Claim1",85.789,190,18,9,1,183,363,550,5.22e-51,193
"1040",378,"Botdo1_1",79.167,96,17,3,1,94,346,440,3.52e-12,63.9
"1042",380,"Hyafin1",88.406,138,14,2,1,137,417,553,9.25e-43,165
"1044",381,"Didma1",83,100,16,1,11,109,309,408,6.02e-20,89.8
"1046",384,"Ocuya1",85.535,159,17,6,1,155,426,582,1.22e-41,161
"1047",386,"Ilyrob1",97.093,172,5,0,1,172,389,560,1.68e-80,291
"1051",397,"Psever1",90.566,159,10,5,1,154,339,497,5.53e-55,206
"1054",414,"Ganleu1",92.271,207,10,6,1,204,357,560,7.3e-80,289
"1055",417,"Penatra1",98.837,172,1,1,1,171,339,510,5.96e-85,305
"1056",417,"Penra1",98.837,172,1,1,1,171,356,527,5.96e-85,305
"1296",420,"Hyafin1",83.439,157,17,9,1,153,417,568,2.03e-34,137
"1298",424,"Fusavent1",87.742,155,11,6,1,149,337,489,1.78e-45,174
"1300",426,"Theglo1",81.366,161,23,7,1,157,323,480,4.53e-31,126
"1301",427,"Fusnyg1",88.701,177,13,7,1,175,331,502,4.94e-56,209
"1303",428,"Amore1",90,150,14,1,1,149,422,571,4.15e-51,193
"1305",431,"Hyafin1",90.435,115,9,2,1,114,417,530,2.61e-38,150
"1307",437,"Claim1",84.103,195,17,12,1,188,363,550,5.42e-46,176
"1308",443,"Tricr1",100,177,0,0,1,177,408,584,1.32e-91,327
"1367",445,"Venin1",82.639,144,18,6,1,141,340,479,2.23e-29,121
"1368",458,"Extant1",88.235,153,15,3,1,151,305,456,3.28e-47,180
"1369",459,"Didma1",82.883,111,16,3,1,109,299,408,3.6e-22,97.1
"1371",465,"Ganleu1",97.561,205,4,1,1,205,357,560,3.32e-98,350
"1373",475,"Botdo1_1",83.158,95,13,2,1,92,346,440,2.66e-18,84.2
"1375",479,"Crafun1",83.962,212,23,6,1,202,448,658,6.2e-51,193
"1376",483,"Plucer1",95.876,194,8,0,1,194,440,633,1.14e-87,315
"1377",484,"Psever1",78.992,119,14,7,1,114,339,451,2.15e-14,71.3
"1378",487,"Mereb1",81.188,202,21,10,1,188,389,587,4.85e-37,147
"1380",490,"Amore1",84.967,153,18,5,1,151,422,571,2.57e-38,150
"1381",501,"Hyafin1",88.793,116,10,3,1,115,417,530,5.69e-35,139
"1383",510,"Tribre1",97.714,175,2,2,1,173,350,524,2.81e-83,300
"1384",510,"Tribrev1",97.714,175,2,2,1,173,350,524,2.81e-83,300
"1442",516,"Trispi1_2",99.432,176,1,0,1,176,405,580,2.2e-89,320
"1501",531,"Asphai1",88.158,152,11,7,1,151,303,448,1.83e-45,174
"1714",533,"Aspfu_P4SB_1",97.403,154,3,1,1,154,438,590,1.33e-71,261
"1954",534,"Amore1",89.781,137,12,2,1,136,422,557,1.51e-45,174
"1955",545,"Amore1",85.256,156,15,8,1,154,422,571,2.03e-39,154
"1957",553,"Melbi2",91.613,155,11,2,1,154,322,475,3.3e-57,213
"1959",555,"Psever1",80.263,152,21,9,1,148,339,485,5.98e-25,106
"1960",568,"Theglo1",85.443,158,21,2,1,156,323,480,9.52e-43,165
"1961",569,"Claim1",83.333,162,21,6,1,157,363,523,1.48e-36,145
"1968",570,"Claim1",78.351,194,24,11,1,182,363,550,5.38e-26,110
"1969",571,"Phiatr1",85.185,108,15,1,1,107,317,424,4.49e-26,110
"1970",572,"Melbi2",90.909,154,12,2,1,152,322,475,5.45e-55,206
"1972",574,"Claim1",86.631,187,18,7,1,183,363,546,3.22e-53,200
"1980",584,"Hyafin1",83.621,116,15,4,1,114,417,530,5.77e-25,106
"1982",585,"Trichl1",95.745,188,3,3,1,188,376,558,1.11e-82,298
"2041",587,"Melbi2",83.962,106,14,3,1,104,322,426,9.58e-23,99
"2044",599,"Acema1",92.857,154,9,2,1,153,431,583,5.45e-60,222
"2045",607,"Diahe1",80,115,11,12,1,105,367,479,1.57e-15,75
"2046",612,"Acema1",90.85,153,14,0,1,153,431,583,5.49e-55,206
"2047",622,"Venin1",96.377,138,4,1,1,137,340,477,4.28e-61,226
"2048",626,"Ganleu1",91.787,207,10,6,1,203,357,560,1.22e-77,281
"2049",627,"Trifer1",99.429,175,1,0,1,175,344,518,7.86e-89,318
"2105",631,"Psever1",88.112,143,12,5,1,140,339,479,9.45e-43,165
"2107",644,"Exoalc1",88.304,171,17,3,1,171,362,529,9.42e-54,202
"2108",644,"Exoalc1_J33",88.304,171,17,3,1,171,362,529,9.42e-54,202
"2115",647,"Botdo1_1",83.158,95,13,1,1,92,346,440,2.68e-18,84.2
"2118",648,"Melbi2",98.052,154,3,0,1,154,322,475,6.95e-74,268
"2120",649,"Pbre18316_1",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2121",649,"Penbr2",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2122",649,"PenbrAgRF18_1",85.156,128,7,7,1,121,326,448,2.33e-29,121
"2123",669,"Psever1",81.897,116,10,7,1,111,339,448,2.14e-19,87.9
"2124",674,"Pilidi1",95.349,172,8,0,1,172,368,539,1.69e-75,274
"2125",680,"Pencit1",95.977,174,2,5,1,173,338,507,1.32e-76,278
"2344",692,"Aspsub1",89.831,118,10,2,1,116,337,454,2.82e-38,150
"2345",692,"Aspsubr1",89.831,118,10,2,1,116,347,464,2.82e-38,150
"2346",692,"Aspele1",89.831,118,10,2,1,116,366,483,2.82e-38,150
"2449",699,"Melbi2",92.143,140,10,1,1,140,322,460,3.3e-52,196
"2451",703,"Psever1",98.113,159,0,3,1,156,339,497,1.52e-75,274
"2452",705,"Aspros1",86.614,127,14,3,1,125,320,445,2.35e-34,137
"2480",707,"Hyafin1",95.425,153,6,1,1,153,417,568,4.18e-66,243
"2482",712,"Clasph1",94.34,159,8,1,1,158,321,479,4.34e-66,243
"2484",730,"Favcal1_2",84.81,158,5,14,1,145,473,624,2.28e-35,141
"2490",731,"Exosi1",87.838,148,11,6,1,146,350,492,3.43e-43,167
"2493",734,"Didma1",81.818,110,19,1,1,109,299,408,1.68e-20,91.6
"2495",762,"Lipstar1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2496",762,"Lst7536_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2497",762,"Lipsta1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2498",762,"Lst8064_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2499",762,"Lst7851_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2500",762,"Lipstark1_1",98.429,191,3,0,1,191,283,473,2.39e-94,337
"2511",764,"Melbi2",89.103,156,11,6,1,152,322,475,5.49e-50,189
"2516",768,"Claim1",89.375,160,12,5,1,159,363,518,4.14e-52,196
"2523",784,"Theglo1",86.164,159,19,3,1,157,323,480,7.42e-44,169
"2525",809,"Hyafin1",86.957,138,15,3,4,140,419,554,7.41e-39,152
"2527",826,"Asprobu1",88.806,134,9,4,1,130,331,462,4.69e-41,159
"2528",826,"Asptan1",88.806,134,9,4,1,130,353,484,4.69e-41,159
"2727",833,"Darbet1",93.548,155,7,3,1,154,379,531,1.28e-61,228
